StartDate,EndDate,Accessed,Attention_check,Choice,Understanding,Accuracy_A,Accuracy_B,Explanation_check,Gender,Age,Condition
4/18/2023 9:50,4/18/2023 9:52,0,5,1,4,94,89,4,2,22,No_explainable
4/18/2023 9:50,4/18/2023 9:52,0,9,1,4,94,89,3,1,29,Both_explainable
4/18/2023 9:49,4/18/2023 9:52,0,9,1,4,94,89,1,1,66,94_explainable
4/18/2023 9:50,4/18/2023 9:52,0,21,1,4,94,89,3,2,40,Both_explainable
4/18/2023 9:51,4/18/2023 9:52,0,8,1,2,95,85,4,1,37,Both_explainable
4/18/2023 9:51,4/18/2023 9:52,0,8,1,6,88,55,1,1,30,Both_explainable
4/18/2023 9:51,4/18/2023 9:52,0,9,1,4,94,86,3,2,47,No_explainable
4/18/2023 9:51,4/18/2023 9:52,0,5,1,7,10,10,1,1,57,94_explainable
4/18/2023 9:52,4/18/2023 9:52,0,10,1,3,94,89,3,1,29,Both_explainable
4/18/2023 9:49,4/18/2023 9:52,0,5,1,4,94,89,1,2,34,94_explainable
4/18/2023 9:50,4/18/2023 9:52,0,10,1,4,94,89,2,1,34,89_explainable
4/18/2023 9:49,4/18/2023 9:52,0,26,1,4,94,89,2,1,30,89_explainable
4/18/2023 9:49,4/18/2023 9:52,0,9,1,4,94,89,4,1,42,No_explainable
4/18/2023 9:52,4/18/2023 9:52,0,0,,,,,,,,
4/18/2023 9:51,4/18/2023 9:52,0,0,,,,,,,,
4/18/2023 9:51,4/18/2023 9:52,0,5,1,5,94,80,2,1,70,89_explainable
4/18/2023 9:51,4/18/2023 9:52,0,11,1,7,94,89,3,1,32,89_explainable
4/18/2023 9:50,4/18/2023 9:52,0,34,1,3,94,89,1,2,38,94_explainable
4/18/2023 9:49,4/18/2023 9:52,0,5,1,3,94,89,4,2,43,No_explainable
4/18/2023 9:50,4/18/2023 9:52,0,5,1,3,94,83,1,2,35,94_explainable
4/18/2023 9:51,4/18/2023 9:52,0,11,1,4,94,89,4,1,62,No_explainable
4/18/2023 9:49,4/18/2023 9:52,0,5,1,5,94,89,2,1,48,89_explainable
4/18/2023 9:50,4/18/2023 9:52,0,5,1,5,50,50,1,1,56,No_explainable
4/18/2023 9:51,4/18/2023 9:52,0,5,1,4,94,89,4,2,37,No_explainable
4/18/2023 9:51,4/18/2023 9:52,0,6,2,7,94,89,2,1,45,89_explainable
4/18/2023 9:52,4/18/2023 9:52,0,0,,,,,,,,
4/18/2023 9:51,4/18/2023 9:52,0,5,1,5,94,89,2,2,41,89_explainable
4/18/2023 9:49,4/18/2023 9:52,0,5,1,1,94,89,1,1,52,94_explainable
4/18/2023 9:51,4/18/2023 9:52,0,8,1,6,50,40,1,2,39,94_explainable
4/18/2023 9:51,4/18/2023 9:52,0,8,1,6,91,89,2,2,30,89_explainable
4/18/2023 9:50,4/18/2023 9:53,0,6,2,5,50,70,2,2,39,89_explainable
4/18/2023 9:50,4/18/2023 9:53,0,12,1,4,94,88,4,1,41,No_explainable
4/18/2023 9:52,4/18/2023 9:53,0,16,1,7,60,40,2,2,28,94_explainable
4/18/2023 9:50,4/18/2023 9:53,0,11,1,2,94,89,4,1,47,No_explainable
4/18/2023 9:52,4/18/2023 9:53,0,10,2,5,44,3,2,2,43,No_explainable
4/18/2023 9:52,4/18/2023 9:53,0,11,1,4,94,89,1,1,37,94_explainable
4/18/2023 9:51,4/18/2023 9:53,0,5,1,3,60,40,1,2,35,89_explainable
4/18/2023 9:50,4/18/2023 9:53,0,11,1,4,94,89,4,1,29,No_explainable
4/18/2023 9:52,4/18/2023 9:53,0,0,,,,,,,,
4/18/2023 9:50,4/18/2023 9:53,1,87,1,4,94,89,3,1,25,Both_explainable
4/18/2023 9:51,4/18/2023 9:53,0,9,1,4,94,89,4,2,32,No_explainable
4/18/2023 9:51,4/18/2023 9:53,0,13,1,4,5,55,4,2,34,89_explainable
4/18/2023 9:52,4/18/2023 9:53,0,9,2,5,60,40,3,1,25,94_explainable
4/18/2023 9:51,4/18/2023 9:53,0,28,1,2,94,89,1,2,42,94_explainable
4/18/2023 9:50,4/18/2023 9:53,0,24,1,1,94,89,3,1,40,No_explainable
4/18/2023 9:51,4/18/2023 9:53,0,5,2,6,94,89,1,1,32,Both_explainable
4/18/2023 9:50,4/18/2023 9:53,0,7,1,4,94,89,1,2,42,94_explainable
4/18/2023 9:52,4/18/2023 9:53,0,6,1,3,94,89,1,1,27,94_explainable
4/18/2023 9:53,4/18/2023 9:53,0,,,,,,,,,
4/18/2023 9:51,4/18/2023 9:53,0,5,2,7,92,87,3,1,34,94_explainable
4/18/2023 9:51,4/18/2023 9:53,0,9,1,4,94,89,4,1,56,No_explainable
4/18/2023 9:51,4/18/2023 9:53,0,8,1,5,94,88,2,1,53,89_explainable
4/18/2023 9:51,4/18/2023 9:53,0,17,1,4,94,89,3,2,27,Both_explainable
4/18/2023 9:52,4/18/2023 9:53,0,5,2,6,80,90,3,2,39,Both_explainable
4/18/2023 9:51,4/18/2023 9:54,0,8,1,4,94,89,3,1,53,Both_explainable
4/18/2023 9:53,4/18/2023 9:54,0,6,1,1,94,89,1,1,34,Both_explainable
4/18/2023 9:52,4/18/2023 9:54,0,28,1,5,25,75,1,2,32,Both_explainable
4/18/2023 9:52,4/18/2023 9:54,0,5,1,1,94,89,1,1,32,94_explainable
4/18/2023 9:50,4/18/2023 9:54,0,43,1,3,94,89,3,2,44,Both_explainable
4/18/2023 9:51,4/18/2023 9:54,0,27,2,7,92,86,2,1,56,89_explainable
4/18/2023 9:52,4/18/2023 9:54,0,9,1,6,94,89,1,2,56,Both_explainable
4/18/2023 9:53,4/18/2023 9:54,0,0,,,,,,,,
4/18/2023 9:51,4/18/2023 9:54,0,34,1,4,96,84,3,2,61,No_explainable
4/18/2023 9:50,4/18/2023 9:54,0,5,2,7,94,89,2,1,32,89_explainable
4/18/2023 9:52,4/18/2023 9:54,0,22,1,1,94,89,1,1,43,No_explainable
4/18/2023 9:51,4/18/2023 9:54,0,10,1,4,94,89,4,2,44,No_explainable
4/18/2023 9:53,4/18/2023 9:54,0,10,1,4,94,89,3,2,41,Both_explainable
4/18/2023 9:53,4/18/2023 9:54,0,11,2,6,94,89,3,2,34,89_explainable
4/18/2023 9:53,4/18/2023 9:54,0,5,1,4,94,89,4,2,31,No_explainable
4/18/2023 9:53,4/18/2023 9:54,0,8,1,7,25,50,1,2,29,Both_explainable
4/18/2023 9:53,4/18/2023 9:54,0,5,1,4,94,89,1,1,36,94_explainable
4/18/2023 9:52,4/18/2023 9:54,0,5,1,2,12,11,1,2,63,89_explainable
4/18/2023 9:51,4/18/2023 9:54,0,51,1,7,5,6,1,2,56,No_explainable
4/18/2023 9:53,4/18/2023 9:54,0,10,1,5,94,89,2,2,27,89_explainable
4/18/2023 9:53,4/18/2023 9:54,0,14,1,4,94,88,2,1,29,89_explainable
4/18/2023 9:51,4/18/2023 9:54,0,24,1,1,94,89,1,2,52,94_explainable
4/18/2023 9:52,4/18/2023 9:54,0,10,1,4,94,89,4,2,52,No_explainable
4/18/2023 9:52,4/18/2023 9:55,0,17,1,1,94,89,1,2,55,94_explainable
4/18/2023 9:50,4/18/2023 9:55,1,29,1,3,94,89,3,1,36,Both_explainable
4/18/2023 9:51,4/18/2023 9:55,0,15,1,4,94,89,2,1,45,89_explainable
4/18/2023 9:54,4/18/2023 9:55,0,5,1,7,94,85,2,1,47,89_explainable
4/18/2023 9:53,4/18/2023 9:55,0,26,1,4,94,89,4,1,41,No_explainable
4/18/2023 9:54,4/18/2023 9:55,0,6,1,4,94,89,4,1,27,No_explainable
4/18/2023 9:53,4/18/2023 9:55,0,14,1,3,94,89,1,1,39,94_explainable
4/18/2023 9:53,4/18/2023 9:55,0,10,2,6,65,70,2,1,32,94_explainable
4/18/2023 9:52,4/18/2023 9:55,0,13,1,1,94,89,4,2,56,No_explainable
4/18/2023 9:53,4/18/2023 9:55,0,8,1,2,94,89,3,1,34,Both_explainable
4/18/2023 9:55,4/18/2023 9:55,0,8,2,6,45,55,3,2,29,89_explainable
4/18/2023 9:52,4/18/2023 9:55,0,9,2,7,94,89,2,2,48,89_explainable
4/18/2023 9:52,4/18/2023 9:55,0,24,1,2,94,89,1,2,51,94_explainable
4/18/2023 9:53,4/18/2023 9:55,0,13,1,4,94,89,3,2,37,Both_explainable
4/18/2023 9:54,4/18/2023 9:55,0,10,1,3,96,89,3,2,24,89_explainable
4/18/2023 9:54,4/18/2023 9:55,0,12,1,4,94,89,4,1,27,No_explainable
4/18/2023 9:53,4/18/2023 9:55,0,7,1,4,94,89,1,1,64,Both_explainable
4/18/2023 9:54,4/18/2023 9:55,0,10,1,1,94,88,1,1,27,94_explainable
4/18/2023 9:54,4/18/2023 9:55,0,17,1,7,94,89,2,1,42,89_explainable
4/18/2023 9:54,4/18/2023 9:55,0,6,1,7,80,50,2,2,25,No_explainable
4/18/2023 9:53,4/18/2023 9:55,0,8,1,4,94,89,4,2,46,No_explainable
4/18/2023 9:54,4/18/2023 9:55,0,5,1,6,94,89,4,2,59,89_explainable
4/18/2023 9:54,4/18/2023 9:55,0,7,1,7,50,50,1,2,54,No_explainable
4/18/2023 9:54,4/18/2023 9:56,0,7,1,3,94,89,1,1,55,94_explainable
4/18/2023 9:54,4/18/2023 9:56,0,9,1,6,94,89,2,1,62,89_explainable
4/18/2023 9:54,4/18/2023 9:56,0,9,1,6,94,89,2,1,46,89_explainable
4/18/2023 9:54,4/18/2023 9:56,1,5,1,6,95,89,2,1,44,89_explainable
4/18/2023 9:51,4/18/2023 9:56,0,8,1,4,94,89,1,2,74,94_explainable
4/18/2023 9:51,4/18/2023 9:56,0,7,1,1,94,84,1,2,38,Both_explainable
4/18/2023 9:55,4/18/2023 9:56,0,5,1,1,94,89,1,1,56,94_explainable
4/18/2023 9:55,4/18/2023 9:56,0,9,1,4,94,89,1,2,38,94_explainable
4/18/2023 9:55,4/18/2023 9:56,0,8,1,4,94,89,3,3,41,Both_explainable
4/18/2023 9:52,4/18/2023 9:56,0,27,1,3,94,86,4,1,30,No_explainable
4/18/2023 9:53,4/18/2023 9:56,1,24,1,4,94,86,3,2,41,Both_explainable
4/18/2023 9:53,4/18/2023 9:56,0,10,1,4,94,89,4,1,39,No_explainable
4/18/2023 9:53,4/18/2023 9:56,0,32,2,6,55,45,2,1,50,89_explainable
4/18/2023 9:55,4/18/2023 9:56,0,6,1,5,94,89,2,2,39,89_explainable
4/18/2023 9:52,4/18/2023 9:57,1,9,1,5,94,89,2,2,46,89_explainable
4/18/2023 9:51,4/18/2023 9:57,0,9,1,3,91,89,1,1,35,94_explainable
4/18/2023 9:56,4/18/2023 9:57,0,6,2,5,95,95,3,2,33,Both_explainable
4/18/2023 9:52,4/18/2023 9:57,0,6,1,1,60,40,1,2,45,Both_explainable
4/18/2023 9:54,4/18/2023 9:57,0,10,1,4,94,89,4,1,62,No_explainable
4/18/2023 9:55,4/18/2023 9:57,0,15,1,4,94,88,4,1,36,No_explainable
4/18/2023 9:53,4/18/2023 9:57,0,8,1,4,94,89,3,2,64,Both_explainable
4/18/2023 9:56,4/18/2023 9:57,0,5,1,4,94,89,1,2,38,94_explainable
4/18/2023 9:56,4/18/2023 9:57,0,7,1,4,94,89,4,1,32,No_explainable
4/18/2023 9:53,4/18/2023 9:57,0,5,1,5,94,89,1,2,33,94_explainable
4/18/2023 9:56,4/18/2023 9:57,0,10,1,4,94,89,1,1,41,94_explainable
4/18/2023 9:56,4/18/2023 9:57,0,5,2,5,94,89,2,1,27,89_explainable
4/18/2023 9:54,4/18/2023 9:57,0,5,1,6,94,89,1,2,41,94_explainable
4/18/2023 9:55,4/18/2023 9:57,0,12,1,1,94,89,1,2,62,No_explainable
4/18/2023 9:52,4/18/2023 9:57,0,5,1,1,94,89,1,2,35,Both_explainable
4/18/2023 9:56,4/18/2023 9:58,0,0,,,,,,,,
4/18/2023 9:57,4/18/2023 9:58,0,11,1,6,94,89,2,1,31,89_explainable
4/18/2023 9:55,4/18/2023 9:58,1,6,1,4,94,89,3,2,68,Both_explainable
4/18/2023 9:53,4/18/2023 9:58,0,10,1,1,94,89,1,2,53,94_explainable
4/18/2023 9:55,4/18/2023 9:58,0,50,1,5,94,89,4,1,25,No_explainable
4/18/2023 9:57,4/18/2023 9:58,0,14,1,3,94,89,4,2,54,No_explainable
4/18/2023 9:54,4/18/2023 9:58,0,6,1,2,94,89,1,2,55,94_explainable
4/18/2023 9:57,4/18/2023 9:58,0,10,1,4,94,89,1,1,65,94_explainable
4/18/2023 9:54,4/18/2023 9:58,1,101,1,7,94,89,2,1,38,89_explainable
4/18/2023 9:56,4/18/2023 9:58,0,6,1,4,94,89,4,1,55,Both_explainable
4/18/2023 9:53,4/18/2023 9:58,0,5,1,4,94,89,4,1,46,Both_explainable
4/18/2023 9:57,4/18/2023 9:58,0,6,2,7,60,90,3,2,22,Both_explainable
4/18/2023 9:56,4/18/2023 9:59,0,7,1,7,60,40,2,2,28,No_explainable
4/18/2023 9:53,4/18/2023 9:59,0,8,1,1,94,89,3,2,24,Both_explainable
4/18/2023 9:50,4/18/2023 9:59,0,12,1,2,94,89,1,1,53,94_explainable
4/18/2023 9:52,4/18/2023 9:59,0,10,1,6,94,89,2,2,46,Both_explainable
4/18/2023 9:57,4/18/2023 9:59,0,5,1,6,94,89,3,2,66,Both_explainable
4/18/2023 9:58,4/18/2023 9:59,0,42,1,7,94,89,2,1,38,89_explainable
4/18/2023 9:58,4/18/2023 9:59,0,8,1,3,100,75,1,1,25,94_explainable
4/18/2023 9:58,4/18/2023 9:59,0,7,1,4,94,89,4,2,64,No_explainable
4/18/2023 9:58,4/18/2023 10:00,0,9,2,7,95,85,2,1,33,89_explainable
4/18/2023 9:57,4/18/2023 10:00,0,9,1,5,94,89,2,1,54,89_explainable
4/18/2023 9:54,4/18/2023 10:00,0,5,1,5,94,89,4,2,64,89_explainable
4/18/2023 9:50,4/18/2023 10:00,0,8,1,6,94,89,2,2,34,89_explainable
4/18/2023 9:58,4/18/2023 10:00,0,10,1,2,94,89,1,2,70,94_explainable
4/18/2023 9:58,4/18/2023 10:00,1,35,1,1,94,89,1,2,44,94_explainable
4/18/2023 9:59,4/18/2023 10:00,0,8,1,7,94,89,2,1,38,89_explainable
4/18/2023 9:58,4/18/2023 10:00,0,31,1,3,98,88,1,2,29,94_explainable
4/18/2023 9:59,4/18/2023 10:00,0,6,1,4,94,89,3,2,51,Both_explainable
4/18/2023 9:57,4/18/2023 10:01,0,8,1,4,96,84,1,2,44,No_explainable
4/18/2023 9:59,4/18/2023 10:01,0,18,1,2,93,89,1,2,32,94_explainable
4/18/2023 9:59,4/18/2023 10:01,0,10,1,4,94,89,4,1,52,No_explainable
4/18/2023 9:58,4/18/2023 10:01,0,5,1,1,92,85,1,1,47,94_explainable
4/18/2023 9:59,4/18/2023 10:01,0,5,1,1,94,89,4,2,33,No_explainable
4/18/2023 10:00,4/18/2023 10:01,0,8,1,4,94,89,1,2,27,Both_explainable
4/18/2023 9:58,4/18/2023 10:01,0,13,1,4,94,89,4,2,34,No_explainable
4/18/2023 9:59,4/18/2023 10:01,0,9,1,4,94,89,4,1,38,No_explainable
4/18/2023 9:57,4/18/2023 10:01,0,42,1,4,94,89,2,1,36,Both_explainable
4/18/2023 10:01,4/18/2023 10:01,0,0,,,,,,,,
4/18/2023 9:59,4/18/2023 10:01,0,16,1,3,94,89,3,1,41,Both_explainable
4/18/2023 10:01,4/18/2023 10:02,0,0,,,,,,,,
4/18/2023 9:59,4/18/2023 10:02,0,8,1,3,94,86,3,2,32,89_explainable
4/18/2023 10:00,4/18/2023 10:02,0,11,1,4,94,89,3,1,47,Both_explainable
4/18/2023 10:01,4/18/2023 10:02,0,7,1,7,94,89,2,1,33,89_explainable
4/18/2023 10:00,4/18/2023 10:02,0,6,1,1,94,86,1,1,33,94_explainable
4/18/2023 10:00,4/18/2023 10:02,0,5,1,2,94,89,1,1,34,94_explainable
4/18/2023 10:00,4/18/2023 10:02,0,7,1,4,94,89,4,1,25,No_explainable
4/18/2023 9:59,4/18/2023 10:02,0,10,1,5,94,85,2,2,43,89_explainable
4/18/2023 10:01,4/18/2023 10:02,0,14,1,1,100,0,1,1,46,Both_explainable
4/18/2023 10:00,4/18/2023 10:02,0,5,1,4,94,89,3,2,65,Both_explainable
4/18/2023 10:01,4/18/2023 10:02,0,5,1,2,94,89,4,1,65,94_explainable
4/18/2023 10:00,4/18/2023 10:03,0,10,2,4,94,89,4,1,65,94_explainable
4/18/2023 10:01,4/18/2023 10:03,0,23,1,1,94,89,3,1,41,No_explainable
4/18/2023 10:03,4/18/2023 10:03,0,0,,,,,,,,
4/18/2023 10:00,4/18/2023 10:03,0,7,1,2,94,89,2,1,23,89_explainable
4/18/2023 10:01,4/18/2023 10:04,0,11,1,4,94,89,3,2,50,Both_explainable
4/18/2023 10:00,4/18/2023 10:04,0,9,1,2,94,89,1,1,42,94_explainable
4/18/2023 10:00,4/18/2023 10:04,0,9,1,4,94,89,3,1,26,Both_explainable
4/18/2023 10:02,4/18/2023 10:04,0,11,1,4,94,89,4,2,45,No_explainable
4/18/2023 10:02,4/18/2023 10:04,0,6,1,4,95,88,4,2,31,No_explainable
4/18/2023 10:01,4/18/2023 10:04,0,12,2,6,94,89,3,1,58,89_explainable
4/18/2023 10:03,4/18/2023 10:04,0,10,1,4,94,89,3,3,29,Both_explainable
4/18/2023 10:02,4/18/2023 10:05,0,13,2,7,50,50,3,2,60,No_explainable
4/18/2023 10:02,4/18/2023 10:05,0,7,1,1,94,89,2,2,41,89_explainable
4/18/2023 10:02,4/18/2023 10:05,0,5,1,4,94,89,4,2,52,No_explainable
4/18/2023 10:03,4/18/2023 10:05,0,10,1,4,94,89,1,2,62,94_explainable
4/18/2023 10:02,4/18/2023 10:05,0,10,1,4,94,89,2,2,61,89_explainable
4/18/2023 10:03,4/18/2023 10:05,0,6,1,4,94,89,3,2,45,Both_explainable
4/18/2023 10:04,4/18/2023 10:05,0,21,1,7,96,89,2,1,42,89_explainable
4/18/2023 10:03,4/18/2023 10:05,0,7,1,4,94,89,3,2,40,Both_explainable
4/18/2023 10:04,4/18/2023 10:05,0,26,1,4,94,89,4,1,43,No_explainable
4/18/2023 9:58,4/18/2023 10:05,0,13,1,4,94,89,4,1,30,No_explainable
4/18/2023 10:04,4/18/2023 10:05,0,5,1,4,94,89,3,2,29,Both_explainable
4/18/2023 10:05,4/18/2023 10:05,0,8,1,4,94,89,4,1,32,No_explainable
4/18/2023 10:03,4/18/2023 10:06,1,7,1,1,94,86,1,2,69,94_explainable
4/18/2023 10:04,4/18/2023 10:06,0,22,2,6,94,89,2,2,48,89_explainable
4/18/2023 10:03,4/18/2023 10:06,0,13,1,4,94,89,1,2,38,94_explainable
4/18/2023 10:04,4/18/2023 10:07,0,13,1,1,94,89,1,1,30,94_explainable
4/18/2023 10:04,4/18/2023 10:07,0,7,1,4,94,89,4,1,48,No_explainable
4/18/2023 10:05,4/18/2023 10:07,0,7,1,5,94,86,3,2,42,Both_explainable
4/18/2023 10:04,4/18/2023 10:07,0,10,1,1,94,89,3,1,59,Both_explainable
4/18/2023 10:04,4/18/2023 10:07,0,9,1,2,94,89,1,1,31,94_explainable
4/18/2023 10:03,4/18/2023 10:07,0,14,2,5,94,89,2,2,27,89_explainable
4/18/2023 10:07,4/18/2023 10:07,0,30,1,4,94,89,4,1,26,No_explainable
4/18/2023 10:05,4/18/2023 10:07,0,8,1,4,94,89,4,2,54,No_explainable
4/18/2023 10:06,4/18/2023 10:07,0,6,1,4,94,86,4,1,34,89_explainable
4/18/2023 10:07,4/18/2023 10:08,0,11,1,4,94,89,2,1,35,89_explainable
4/18/2023 10:04,4/18/2023 10:08,0,5,1,6,94,86,4,2,60,Both_explainable
4/18/2023 10:07,4/18/2023 10:08,0,14,1,4,94,89,1,2,29,94_explainable
4/18/2023 10:05,4/18/2023 10:08,0,8,1,3,94,89,3,1,32,Both_explainable
4/18/2023 10:06,4/18/2023 10:08,0,5,1,4,94,89,4,1,37,No_explainable
4/18/2023 10:05,4/18/2023 10:08,0,9,1,5,94,89,2,1,63,89_explainable
4/18/2023 10:05,4/18/2023 10:08,0,32,2,7,94,89,2,2,44,89_explainable
4/18/2023 10:07,4/18/2023 10:08,0,21,1,4,94,89,4,1,41,No_explainable
4/18/2023 10:06,4/18/2023 10:09,0,6,1,4,94,89,3,1,66,Both_explainable
4/18/2023 10:08,4/18/2023 10:09,0,10,2,6,49,68,2,2,56,Both_explainable
4/18/2023 10:06,4/18/2023 10:09,0,10,1,3,94,89,1,1,67,94_explainable
4/18/2023 10:06,4/18/2023 10:10,0,10,1,4,94,89,3,1,52,Both_explainable
4/18/2023 10:02,4/18/2023 10:10,0,5,1,6,95,89,2,2,27,89_explainable
4/18/2023 10:07,4/18/2023 10:10,0,5,2,4,94,89,1,1,58,94_explainable
4/18/2023 10:08,4/18/2023 10:10,0,5,1,4,84,84,4,2,62,94_explainable
4/18/2023 10:06,4/18/2023 10:10,0,5,1,1,94,89,4,2,27,No_explainable
4/18/2023 10:07,4/18/2023 10:10,0,9,1,4,94,89,4,1,39,No_explainable
4/18/2023 10:08,4/18/2023 10:11,0,8,1,1,94,89,1,2,29,Both_explainable
4/18/2023 10:10,4/18/2023 10:11,0,5,2,4,94,89,4,1,52,No_explainable
4/18/2023 10:09,4/18/2023 10:11,0,6,1,4,94,89,4,2,48,Both_explainable
4/18/2023 10:09,4/18/2023 10:11,0,5,2,5,94,89,3,1,42,89_explainable
4/18/2023 10:08,4/18/2023 10:12,0,6,1,4,94,89,4,2,55,No_explainable
4/18/2023 10:10,4/18/2023 10:12,0,10,1,6,94,89,2,1,70,89_explainable
4/18/2023 10:11,4/18/2023 10:12,0,6,1,4,94,89,3,1,32,Both_explainable
4/18/2023 10:10,4/18/2023 10:13,0,5,1,1,5,4,3,1,35,94_explainable
4/18/2023 10:10,4/18/2023 10:13,1,10,1,1,94,89,1,1,52,94_explainable
4/18/2023 10:11,4/18/2023 10:13,0,12,1,4,94,89,3,1,40,No_explainable
4/18/2023 10:10,4/18/2023 10:13,0,9,1,6,94,89,2,2,40,89_explainable
4/18/2023 10:06,4/18/2023 10:13,0,8,1,4,80,80,3,2,38,89_explainable
4/18/2023 10:12,4/18/2023 10:13,0,9,1,4,94,89,3,1,52,Both_explainable
4/18/2023 10:12,4/18/2023 10:14,0,8,2,6,12,23,2,1,33,94_explainable
4/18/2023 10:13,4/18/2023 10:14,0,7,1,4,94,89,4,1,28,No_explainable
4/18/2023 10:13,4/18/2023 10:14,0,11,1,1,94,89,1,1,32,94_explainable
4/18/2023 10:13,4/18/2023 10:14,0,6,1,4,94,89,4,2,37,No_explainable
4/18/2023 10:13,4/18/2023 10:14,0,5,2,7,95,87,2,2,29,89_explainable
4/18/2023 10:13,4/18/2023 10:14,0,7,2,6,94,89,3,1,40,Both_explainable
4/18/2023 10:11,4/18/2023 10:14,1,6,1,1,98,89,1,2,42,94_explainable
4/18/2023 10:11,4/18/2023 10:14,0,14,1,2,94,89,2,2,56,89_explainable
4/18/2023 10:11,4/18/2023 10:14,0,6,1,5,94,89,2,1,35,89_explainable
4/18/2023 10:14,4/18/2023 10:15,0,13,1,1,94,89,1,2,24,94_explainable
4/18/2023 10:12,4/18/2023 10:15,0,16,1,3,94,89,1,3,26,94_explainable
4/18/2023 10:13,4/18/2023 10:16,0,8,1,4,94,89,4,1,70,No_explainable
4/18/2023 10:13,4/18/2023 10:16,0,6,1,4,94,89,4,1,82,Both_explainable
4/18/2023 10:10,4/18/2023 10:16,0,41,2,5,40,60,4,1,41,Both_explainable
4/18/2023 10:13,4/18/2023 10:16,0,8,2,6,94,89,2,1,25,89_explainable
4/18/2023 10:14,4/18/2023 10:16,0,17,2,6,92,89,2,2,34,89_explainable
4/18/2023 10:14,4/18/2023 10:16,0,5,1,4,94,89,3,2,30,Both_explainable
