StartDate,EndDate,Accessed,Attention_check,Intentions,Understanding,Empowerment1,Empowerment2,Gender,Age,Condition
9/21/2023 10:41,9/21/2023 10:43,0,5,5,4,5,5,2,38,Prospect
9/21/2023 10:41,9/21/2023 10:43,1,6,2,4,3,3,1,55,Prospect
9/21/2023 10:41,9/21/2023 10:43,0,31,1,7,4,1,2,35,Prospect
9/21/2023 10:40,9/21/2023 10:44,0,9,1,1,3,3,1,28,Control
9/21/2023 10:40,9/21/2023 10:44,0,0,,,,,,,
9/21/2023 10:41,9/21/2023 10:44,1,10,2,6,5,5,1,69,Prospect
9/21/2023 10:43,9/21/2023 10:44,0,0,,,,,,,
9/21/2023 10:41,9/21/2023 10:44,0,22,5,3,2,2,1,52,Control
9/21/2023 10:42,9/21/2023 10:45,1,19,5,6,6,6,2,53,Prospect
9/21/2023 10:44,9/21/2023 10:45,0,12,4,4,5,5,2,38,Control
9/21/2023 10:45,9/21/2023 10:46,0,11,4,3,5,5,1,35,Prospect
9/21/2023 10:44,9/21/2023 10:46,0,15,7,5,7,7,1,38,Prospect
9/21/2023 10:45,9/21/2023 10:46,0,5,2,3,3,2,2,45,Control
9/21/2023 10:46,9/21/2023 10:46,0,,,,,,,,
9/21/2023 10:45,9/21/2023 10:46,1,12,1,6,1,1,2,58,Prospect
9/21/2023 10:46,9/21/2023 10:46,0,9,6,6,5,5,2,43,Prospect
9/21/2023 10:44,9/21/2023 10:46,0,36,2,2,3,3,1,39,Control
9/21/2023 10:46,9/21/2023 10:47,0,5,1,7,7,7,2,45,Control
9/21/2023 10:47,9/21/2023 10:49,1,5,1,6,6,6,2,50,Prospect
9/21/2023 10:39,9/21/2023 10:49,0,11,1,1,5,5,2,24,Control
9/21/2023 10:48,9/21/2023 10:49,0,5,1,1,1,1,1,47,Control
9/21/2023 10:47,9/21/2023 10:49,0,11,1,3,7,7,1,68,Prospect
9/21/2023 10:49,9/21/2023 10:50,0,6,6,5,6,5,1,67,Prospect
9/21/2023 10:48,9/21/2023 10:51,0,20,2,2,1,1,2,32,Control
9/21/2023 10:49,9/21/2023 10:51,0,8,3,5,6,6,2,51,Prospect
9/21/2023 10:49,9/21/2023 10:51,0,27,1,2,2,3,1,36,Control
9/21/2023 10:50,9/21/2023 10:51,0,7,2,5,2,2,2,33,Prospect
9/21/2023 10:51,9/21/2023 10:52,0,8,5,4,6,6,1,25,Control
9/21/2023 10:51,9/21/2023 10:52,0,11,1,1,1,1,1,45,Control
9/21/2023 10:51,9/21/2023 10:53,0,10,2,5,4,4,2,29,Control
9/21/2023 10:52,9/21/2023 10:53,0,21,7,6,5,6,1,35,Prospect
9/21/2023 10:52,9/21/2023 10:54,0,10,6,7,7,7,2,32,Prospect
9/21/2023 10:52,9/21/2023 10:54,0,8,4,7,7,7,2,40,Prospect
9/21/2023 10:51,9/21/2023 10:54,1,11,2,3,1,1,1,36,Prospect
9/21/2023 10:53,9/21/2023 10:54,0,8,1,1,1,1,1,27,Control
9/21/2023 10:53,9/21/2023 10:57,0,14,6,7,7,6,2,33,Control
9/21/2023 10:56,9/21/2023 10:59,1,9,2,3,5,5,1,36,Prospect
