Finished,RecordedDate,CHOICEdv,age,gender,Condition
1,2/12/21 16:09,1,41,0,2
1,2/12/21 16:18,1,69,0,2
1,2/12/21 16:24,1,44,0,2
1,2/12/21 16:35,1,35,0,2
1,2/12/21 16:36,1,66,1,2
0,2/18/21 20:47,1,37,0,2
0,2/19/21 4:45,1,,,2
0,2/19/21 15:32,1,,,2
0,2/19/21 15:41,1,,,2
0,2/19/21 15:53,1,,,2
0,2/19/21 16:02,1,,,2
1,2/11/21 20:20,2,53,1,2
1,2/11/21 20:26,2,33,0,2
1,2/11/21 20:27,2,57,1,2
1,2/11/21 20:36,2,40,1,2
1,2/11/21 21:02,2,49,0,2
1,2/11/21 21:05,2,51,1,2
1,2/11/21 21:05,2,61,1,2
1,2/11/21 21:11,2,42,1,2
1,2/11/21 21:14,2,46,0,2
1,2/11/21 21:27,2,52,0,2
1,2/11/21 22:28,2,50,0,2
1,2/11/21 22:35,2,50,1,2
1,2/12/21 0:12,2,37,1,2
1,2/12/21 0:38,2,41,0,2
1,2/12/21 2:27,2,33,0,2
1,2/12/21 4:14,2,36,0,2
1,2/12/21 5:29,2,50,1,2
1,2/12/21 5:37,2,24,1,2
1,2/12/21 6:00,2,53,1,2
1,2/12/21 6:04,2,22,1,2
1,2/12/21 6:37,2,61,1,2
1,2/12/21 9:49,2,32,1,2
1,2/12/21 11:00,2,26,0,2
1,2/12/21 11:03,2,27,0,2
1,2/12/21 11:21,2,51,1,2
1,2/12/21 12:52,2,60,0,2
1,2/12/21 13:04,2,47,0,2
1,2/12/21 14:23,2,61,0,2
1,2/12/21 14:59,2,33,0,2
1,2/12/21 15:31,2,33,0,2
1,2/12/21 15:32,2,53,0,2
1,2/12/21 15:32,2,24,0,2
1,2/12/21 15:35,2,40,1,2
1,2/12/21 15:54,2,35,0,2
1,2/12/21 15:56,2,38,0,2
1,2/12/21 16:11,2,25,0,2
1,2/12/21 16:12,2,62,0,2
1,2/12/21 16:39,2,54,0,2
1,2/12/21 17:00,2,41,0,2
0,2/18/21 22:50,2,,,2
0,2/19/21 4:30,2,,,2
0,2/19/21 9:56,2,,,2
0,2/19/21 15:42,2,,,2
0,2/19/21 16:22,2,,,2
1,2/11/21 20:15,1,37,1,3
1,2/11/21 20:27,1,54,0,3
1,2/11/21 20:43,1,45,1,3
1,2/11/21 20:53,1,49,1,3
1,2/11/21 21:07,1,66,1,3
1,2/11/21 21:11,1,45,0,3
1,2/11/21 21:23,1,44,0,3
1,2/11/21 22:40,1,34,1,3
1,2/11/21 23:05,1,38,1,3
1,2/11/21 23:19,1,34,1,3
1,2/11/21 23:33,1,31,0,3
1,2/12/21 0:26,1,21,0,3
1,2/12/21 0:58,1,37,0,3
1,2/12/21 2:18,1,79,1,3
1,2/12/21 3:14,1,63,1,3
1,2/12/21 4:10,1,43,1,3
1,2/12/21 4:16,1,22,1,3
1,2/12/21 4:39,1,40,1,3
1,2/12/21 5:11,1,30,1,3
1,2/12/21 5:15,1,33,1,3
1,2/12/21 5:17,1,40,0,3
1,2/12/21 5:25,1,53,1,3
1,2/12/21 5:44,1,33,1,3
1,2/12/21 6:56,1,55,0,3
1,2/12/21 7:02,1,33,0,3
1,2/12/21 7:35,1,30,1,3
1,2/12/21 7:51,1,63,0,3
1,2/12/21 7:59,1,31,1,3
1,2/12/21 9:52,1,46,0,3
1,2/12/21 9:58,1,39,0,3
1,2/12/21 10:47,1,31,0,3
1,2/12/21 11:24,1,27,0,3
1,2/12/21 11:29,1,30,0,3
1,2/12/21 11:50,1,66,0,3
1,2/12/21 12:14,1,63,1,3
1,2/12/21 12:53,1,24,1,3
1,2/12/21 14:57,1,31,1,3
1,2/12/21 15:32,1,26,0,3
1,2/12/21 15:33,1,38,1,3
1,2/12/21 15:33,1,54,1,3
1,2/12/21 15:36,1,59,0,3
1,2/12/21 15:47,1,55,0,3
1,2/12/21 15:47,1,70,0,3
1,2/12/21 15:47,1,37,0,3
1,2/12/21 15:49,1,63,1,3
1,2/12/21 15:54,1,39,0,3
1,2/12/21 15:57,1,45,1,3
1,2/12/21 15:59,1,67,0,3
1,2/12/21 16:04,1,67,0,3
1,2/12/21 16:09,1,35,0,3
1,2/12/21 16:10,1,54,1,3
1,2/12/21 16:13,1,31,1,3
1,2/12/21 16:18,1,23,0,3
1,2/12/21 16:22,1,19,0,3
1,2/12/21 16:51,1,54,1,3
0,2/18/21 20:12,1,,,3
0,2/18/21 20:44,1,,,3
0,2/18/21 20:48,1,,,3
0,2/19/21 5:37,1,,,3
0,2/19/21 6:13,1,,,3
0,2/19/21 6:42,1,43,1,3
0,2/19/21 6:59,1,,,3
0,2/19/21 15:22,1,,,3
0,2/19/21 15:42,1,,,3
0,2/19/21 16:18,1,,,3
0,2/19/21 16:36,1,,,3
1,2/11/21 20:13,2,32,1,3
1,2/11/21 20:15,2,33,1,3
1,2/11/21 20:19,2,72,0,3
1,2/11/21 20:25,2,46,0,3
1,2/11/21 20:31,2,40,1,3
1,2/11/21 20:36,2,24,1,3
1,2/11/21 20:37,2,56,0,3
1,2/11/21 20:41,2,36,0,3
1,2/11/21 21:02,2,72,0,3
1,2/11/21 21:03,2,35,1,3
1,2/11/21 21:07,2,61,0,3
1,2/11/21 21:11,2,33,1,3
1,2/11/21 21:15,2,47,0,3
1,2/11/21 21:29,2,52,1,3
1,2/11/21 21:35,2,47,0,3
1,2/11/21 21:49,2,31,0,3
1,2/11/21 22:07,2,28,1,3
1,2/11/21 22:10,2,39,0,3
1,2/11/21 22:23,2,34,1,3
1,2/11/21 22:41,2,22,1,3
1,2/12/21 0:50,2,37,1,3
1,2/12/21 2:31,2,67,0,3
1,2/12/21 3:29,2,46,1,3
1,2/12/21 4:27,2,28,0,3
1,2/12/21 5:48,2,39,0,3
1,2/12/21 7:54,2,42,1,3
1,2/12/21 8:04,2,30,2,3
1,2/12/21 8:38,2,31,0,3
1,2/12/21 9:14,2,25,0,3
1,2/12/21 11:16,2,34,0,3
1,2/12/21 12:34,2,36,1,3
1,2/12/21 13:09,2,35,0,3
1,2/12/21 14:00,2,62,0,3
1,2/12/21 14:14,2,37,0,3
1,2/12/21 15:07,2,35,0,3
1,2/12/21 15:31,2,34,0,3
1,2/12/21 15:34,2,28,0,3
1,2/12/21 15:36,2,51,0,3
1,2/12/21 15:36,2,66,0,3
1,2/12/21 15:39,2,64,0,3
1,2/12/21 15:39,2,36,0,3
1,2/12/21 15:40,2,50,1,3
1,2/12/21 15:47,2,36,1,3
1,2/12/21 15:49,2,28,1,3
1,2/12/21 15:50,2,28,1,3
1,2/12/21 15:57,2,44,1,3
1,2/12/21 15:58,2,36,1,3
1,2/12/21 16:01,2,67,0,3
1,2/12/21 16:03,2,45,0,3
1,2/12/21 16:26,2,31,1,3
1,2/12/21 16:37,2,27,1,3
0,2/18/21 20:28,2,,,3
0,2/19/21 15:33,2,,,3
0,2/19/21 15:45,2,,,3
