rating_1,rating_2,rating_3,rating_4,rating_5,rating_6,rating_7,rating_8,rating_9,rating_10,rating_11,rating_12,rating_13,rating_14,rating_15,rating_16,rating_17,rating_18,rating_19,rating_20,snacks,eat,frequency,care,age,gender
4.23,0.73,0.63,1.67,2.67,0.63,0.83,3.78,2.7,3.68,4.9,4.6,2.58,3.67,3.72,0.57,0.73,0.65,2.75,1.65,7,5,5,6,31,1
0.45,0.52,4.95,0.48,0.52,4.98,0.38,0.35,0.32,2.52,2.58,0.28,4.85,3.45,4.88,2.62,4.78,0.48,0.18,4.85,4,1,1,7,34,0
4.88,3.92,4.95,4.92,4.98,0.08,0.05,2.48,4.92,4.02,0.02,0.05,4.88,4.88,4.98,4.95,4.85,0.08,0.92,2.95,7,7,5,7,22,0
0.82,4.15,3.62,1.68,1.85,1.02,0.68,1.52,2.02,0.28,0.65,0.32,0,0,4.75,4.62,4.62,0,4.48,1.28,6,5,6,4,40,1
3.55,1.48,3.85,3.62,5,0,0.48,1.98,3.42,0.75,3.68,1.48,2.68,0.58,4.05,0.55,1.55,0.58,5,0.38,7,7,4,3,33,0
1.55,3.29,2.59,1.52,1.62,2.45,1.49,3.62,2.62,1.05,1.52,3.65,3.72,3.19,4.59,4.49,4.59,2.12,2.49,2.65,4,3,2,5,36,1
4.7,0.73,3.43,1.87,2.5,0.67,3.6,2.53,2.73,3.53,0.93,2.53,0.57,2.77,2.57,4.6,1.33,2.57,0.6,2.57,4,4,4,5,56,0
2.62,3.68,4.12,0.62,0,3.85,2.88,3.42,1.88,1.95,3.08,3.98,5,3.85,0,5,4.15,1.05,0,3.82,4,5,7,1,23,1
3.82,4.48,2.42,1.48,1.25,1.32,2.88,4.58,1.38,1.62,4.58,4.88,2.75,3.92,1.52,4.38,4.62,2.52,1.45,4.62,6,6,6,2,42,1
2.88,3.68,2.72,2.55,3.52,2.92,3.65,2.55,3.82,3.15,3.22,2.78,2.55,1.58,2.52,3.08,3.68,3.05,3.85,3.78,6,6,5,6,28,0
1.62,1.52,2.48,3.62,3.35,1.92,2.48,4.22,4.12,4.12,4.55,3.95,3.28,2.68,0.82,3.08,3.82,1.55,1.65,3.08,4,4,4,5,22,1
3.72,1.65,3.42,2.65,2.52,2.72,3.55,2.08,2.28,3.02,2.48,4.55,2.98,3.52,3.55,4.65,4.55,4.12,4.48,4.48,5,3,6,2,69,1
3.63,3.53,0.63,1.8,1.87,1.98,1.63,2.7,3.53,3.53,0.75,2.7,0.82,2.38,0.78,3.7,3.73,0.6,1.05,3.7,7,7,7,7,28,0
0,4,1,0,1,4,2,4,2,0,3.9,0,2,0,2,3,4,5,1,2,5,5,5,3,34,0
0.42,4.72,0.45,3.22,2.35,3.52,1.38,0.45,3.58,1.48,4.45,1.52,1.48,0.62,2.58,4.45,3.48,3.82,4.48,3.65,6,2,2,6,45,1
5,4,3,2,2,3,4,4,3,4,5,1,3,3,4,5,3,4,3,3,7,5,4,4,42,1
4.62,4.68,1.48,1.35,0.78,2.52,2.48,4.55,3.35,3.78,0.38,3.35,4.58,0.32,1.55,3.42,4.82,0.32,0.22,2.75,7,6,6,2,36,0
1.35,4.72,4.88,0.42,0.25,0.35,3.82,4.68,0.32,3.52,4.72,1.95,0.72,3.58,0.35,4.85,4.95,1.62,0.42,4.95,5,3,3,6,61,1
0.4,4.57,4.63,4.6,4.67,2.4,0.33,4.73,4.5,4.53,0.4,1.57,0.67,2.33,3.33,1.67,4.7,5,2.57,5,7,7,5,7,55,2
2.85,5,3.42,3.62,3.98,4.42,4.55,5,3.52,1.98,2.85,5,5,4.02,2.42,4.25,4.22,4.42,3.88,5,7,7,6,4,29,1
0.63,4.57,5,2.57,0.7,3.57,4.87,3.43,3.63,3.6,4.77,3.53,1.73,3.7,2.47,4.87,4.77,1.57,1.53,3.7,6,6,5,2,67,0
3.15,3.52,4.12,2.18,2.65,1.58,3.05,4.05,1.62,3.38,4.25,3.38,2.78,4.42,0.68,3.35,4.08,0.62,4.18,2.68,6,5,6,5,35,0
0.95,2.92,2.85,3.98,2.88,2.92,1.85,3.88,1.75,0.78,4.28,3.72,4.45,2.65,2.78,2.68,3.75,2.82,2.78,3.78,5,5,5,5,26,1
3.26,3.03,0.94,3.97,4.97,2.94,1.64,2.95,0.72,4,2.77,2.84,0.57,3.84,3.9,2.74,3.57,2.5,0.62,2.73,7,7,7,2,36,0
1.88,1.82,1.45,0.78,4.72,4.58,0.45,3.38,4.62,0.52,0.22,0.48,3.55,4.78,1.88,0.45,0.45,4.68,4.72,4.75,7,7,7,7,21,0
1.82,2.48,1.08,3.98,2.95,4.12,2.52,2.52,1.78,1.85,2.98,3.55,2.98,2.35,1.35,2.22,4.25,0.82,0.88,4.12,7,6,6,4,27,0
1.32,5,3.39,0.35,0.09,4.55,3.35,5,2.39,3.69,4.92,4.89,2.45,1.52,0.55,4.85,3.72,3.69,0.22,4.52,4,3,2,6,60,1
3.91,3.38,3.68,4.55,4.95,0.25,4.95,5,5,1.65,0.25,0.01,3.61,4.08,3.75,4.05,4.78,5,1.81,4.78,7,4,4,3,32,0
1.55,2.48,3.48,2.25,1.48,1.95,1.82,4.25,1.72,1.45,3.72,2.92,1.65,2.65,1.85,1.55,2.42,2.22,1.85,2.32,5,4,4,3,31,1
1.75,3.68,4.88,0.75,4.65,2.62,1.78,4.72,1.65,2.42,3.62,4.72,2.58,3.52,4.62,4.98,4.42,1.35,4.48,4.72,7,7,5,1,33,1
4,4,3,2,1,3,3,5,2,4,5,5,4,1,1,4,4,3,2,4,6,2,2,7,29,1
3.75,2.75,3.72,1.92,2.85,2.82,3.12,3.92,3.98,2.75,1.88,3.82,3.65,1.72,2.88,2.95,3.48,3.22,1.78,2.98,5,6,5,3,30,1
1.68,3.58,2.83,3.78,2.45,0.26,3.54,2.85,4.56,4.72,4.63,2.56,4.21,0.28,0.19,2.72,2.77,1.48,1.66,3.23,6,6,6,4,27,1
1.48,2.42,1.55,2.42,1.38,1.18,2.32,1.52,2.45,2.28,1.38,1.28,1.35,2.42,1.35,1.45,1.25,1.42,1.48,1.42,3,3,3,5,75,0
1.45,3.55,1.38,2.62,0.92,1.55,2.35,4.72,3.58,0.95,4.95,3.42,2.95,1.85,4.62,4.72,3.08,1.12,1.15,1.95,6,4,5,3,38,1
3.98,3.45,3.88,3.05,4.62,4.22,3.12,3.42,3.82,3.12,3.68,3.95,3.95,2.88,2.48,4.05,4.05,4.02,4.45,3.58,6,6,4,5,51,1
0.72,4.62,4.55,4.38,2.45,4.58,4.62,4.78,4.68,0.55,4.98,4.75,4.55,0.32,0.68,4.85,4.88,3.58,0.32,4.62,7,7,7,6,43,0
3.45,3.82,3.95,4.55,4.52,4.38,3.38,4.58,4.55,3.32,3.65,3.85,4.45,2.65,2.45,3.72,3.82,2.25,4.72,3.88,7,6,6,1,26,1
4.77,4.83,2.43,5,4.93,0.93,1.33,1.03,1.63,3.27,2.4,4.83,1.7,1.73,3.13,2.73,2.73,0.6,4.43,2.67,4,4,4,5,27,0
4.02,0,3.48,3.55,4.65,4.68,3.68,4.32,4.62,4.22,3.88,0.22,4.45,4.28,4.45,3.65,4.72,4.28,3.72,4.42,7,7,7,1,33,1
0.62,1.35,2.52,2.62,2.88,2.62,2.48,2.55,1.65,0.48,0.48,1.42,1.48,2.55,1.28,2.72,1.78,1.95,1.75,3.08,4,4,4,4,54,1
2.68,5,1.68,0.48,3.52,0.28,1.75,3.92,0.38,0.38,4.62,1.82,0.22,1.65,4.62,4.58,4.65,1.38,0.32,2.48,5,5,4,4,42,0
0.98,4.82,4.92,0.18,4.58,3.62,3.48,0.62,0.32,0.28,4.68,2.38,1.45,0.35,2.72,4.82,0.28,0.28,2.85,0.58,2,1,3,7,43,0
2.48,3.45,3.48,0.38,0.61,1.55,1.51,4.41,0.61,1.51,4.41,4.35,3.65,0.65,1.41,4.21,4.01,0.85,0.51,2.85,5,5,5,6,27,0
1.7,0.31,0.57,4.65,4.83,1.82,2.77,2.76,4.71,3.87,3.63,3.79,4.82,0.43,3.67,3.91,3.5,0.58,4.83,3.67,5,4,3,4,27,1
3.55,4.38,3.78,3.48,3.55,4.75,2.61,3.41,3.35,3.91,4.35,4.81,4.48,3.45,2.68,3.78,3.65,3.55,4.88,4.75,5,3,3,5,68,0
0.38,0.38,2.52,2.35,1.48,1.68,1.75,1.58,2.48,2.55,2.85,2.72,1.32,1.65,1.35,3.48,2.78,1.58,2.22,1.52,4,4,4,4,29,0
4.06,5,4.89,2.99,3.79,3.72,2.92,4.66,2.99,4.06,4.92,4.79,3.86,3.82,2.72,3.72,4.86,5,2.96,5,7,7,7,1,35,1
5,5,4.05,4.05,3.08,3.08,5,5,4.08,5,5,4.02,5,5,3.02,5,5,2.05,3.08,5,7,7,7,4,45,0
2.63,2.77,4.03,2.73,4.47,4.7,3.57,4.53,2.7,1.7,4.7,3.5,3.23,4.37,2.3,4.4,3.5,2.9,2.57,4.33,7,7,6,3,25,1
2.48,4.62,4.62,0.48,2.58,4.85,1.72,4.82,0.68,1.48,4.65,1.82,2.65,0.78,0.82,4.95,4.55,4.72,0.65,4.78,6,5,5,6,45,0
3.58,2.02,2.62,0.58,0.68,0.72,1.68,2.28,0.15,2.32,3.52,0.65,0.85,0.98,1.08,2.72,0.48,0.35,0.52,0.88,3,1,2,7,61,1
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,1,48,1
2.58,5,2.32,3.75,4.25,4.48,1.88,3.22,2.95,4.02,4.58,5,4.48,3.62,4.32,4.45,4.38,4.38,4.38,4.38,7,7,7,7,40,1
1.6,2.43,3.57,2.5,1.57,2.27,1.3,1.37,3.53,1.27,2.57,1.47,0.5,0.53,1.4,2.57,1.53,2.43,0.77,3.27,5,6,4,5,26,0
2.72,2.88,1.58,4.78,4.82,4.82,0.58,1.62,4.75,4.72,4.65,4.65,4.92,2.72,4.85,4.78,4.78,3.68,4.75,2.85,7,7,7,7,29,0
2.99,2.84,3.82,2.64,2.74,2.87,2.87,4.02,2.64,2.69,4.37,2.64,2.82,3.37,2.69,2.79,4.42,3.45,2.84,4.47,5,3,3,4,27,1
1.52,3.42,3.35,0.85,3.45,3.58,3.62,4.78,1.65,0.92,4.78,4.65,4.58,0.85,0.78,3.42,3.82,2.52,3.15,2.75,4,3,3,6,36,1
0,4.02,2.55,3.85,3.85,2.88,0,4.55,5,0,5,3.98,5,0,0,4.02,5,0,3.78,5,6,6,6,1,34,1
4.09,3.79,3.82,2.99,4.12,0.52,0.59,1.59,1.76,0.59,3.42,2.92,1.79,1.02,2.86,4.32,0.79,2.22,4.89,1.72,4,2,2,7,56,0
0.55,1.45,2.65,2.38,1.21,2.28,0.31,2.41,2.51,3.28,3.75,2.85,1.41,1.68,0.58,3.78,2.28,4.11,0.48,4.25,6,5,5,4,38,1
4.37,4.87,2.73,0.2,1.1,0.5,3.67,2.43,2.47,3.63,4.63,4.97,0.17,3.8,2.83,3.77,4.53,4.97,3.5,3.87,6,5,5,3,42,0
0.52,2.95,4.02,0.82,3.65,4.62,1.58,4.65,0.38,0.32,4.85,4.62,0.42,0.35,0.42,2.82,3.95,4.72,0.45,1.42,7,7,7,3,40,1
5,5,4.75,0.35,0.45,2.62,4.68,4.25,0.22,4.72,4.52,1.42,4.75,4.92,0.48,4.78,4.58,2.52,0.35,4.25,5,4,4,5,40,0
4.72,4.42,3.88,4.62,2.55,3.75,4.55,3.68,4.48,4.78,3.92,4.75,3.98,2.85,5,3.95,2.95,4.05,4.85,3.98,7,6,7,6,30,1
4.62,3.53,3.38,3.78,2.68,3.81,2.61,3.52,3.38,4.38,5,3.59,1.64,4.73,0.34,3.65,2.53,0.47,0.47,3.65,5,5,5,4,20,0
0.47,3.44,1.47,4.8,3.94,0,0.47,4.9,1.64,1.47,4.37,0.4,3.6,2.8,0.34,4.27,3.94,0.7,0.5,3.74,7,7,7,4,22,1
2.45,3.05,3.62,2.78,3.08,3.85,3.58,2.62,2.75,2.88,3.85,3.08,1.65,2.82,3.15,2.65,3.02,3.35,3.25,2.22,5,5,5,5,27,1
4.48,2.85,2.95,3.35,3.58,4.52,1.55,4.62,3.48,3.45,4.68,4.45,4.75,3.38,1.35,3.42,4.85,1.72,4.55,4.72,7,7,7,5,30,0
1.66,0.42,4.86,0.52,0.49,0.42,3.02,3.82,0.29,0.62,1.89,0.42,0.32,4.56,1.92,0.89,3.02,0.32,0.42,3.29,4,5,5,6,65,0
0.45,5,2.72,4.52,3.05,3.85,1.48,3.52,3.52,1.52,4.98,3.15,4.85,2.52,0.05,3.52,4.58,2.35,0.58,4.92,7,7,7,5,23,1
4.5,5,4.37,3.43,1.5,1.4,1.5,3.43,3.33,1.5,4.7,4.5,2.43,2.7,2.7,4.03,5,0.63,0.23,4.6,5,5,5,4,26,1
3.88,2.61,3.35,0.55,3.38,1.55,0.35,3.71,2.71,2.95,2.75,3.01,2.48,3.61,2.35,2.68,3.81,0.75,0.78,2.51,4,4,4,5,33,0
3.82,3.45,4.75,0.42,1.88,4.65,2.08,4.68,0.42,4.52,5,3.78,1.92,0.72,0.15,5,5,0.52,0.38,3.52,5,7,5,4,37,1
2.56,0.22,4.69,0.49,0.52,1.56,1.52,1.56,0.42,1.69,0.42,4.56,0.42,0.59,0.39,0.36,0.49,4.49,4.56,0.32,7,7,5,1,66,0
4.92,3.68,3.42,2.52,4.48,3.55,3.62,3.78,4.62,1.75,3.72,4.68,4.65,2.65,2.62,2.82,2.72,2.75,4.95,4.52,5,3,3,5,32,1
2.87,4.83,3,1.87,1.7,3.73,1.93,1.87,2.9,1.83,3.83,4.93,1.87,0.93,2.17,4.03,4.83,1.1,0.53,3.5,6,5,5,4,57,0
0.28,3.72,3.62,1.58,1.48,1.75,2.55,2.72,1.78,0.72,4.65,2.45,2.55,2.55,0.35,4.38,3.62,0.25,1.35,4.72,4,2,2,6,39,0
4.82,4.82,4.32,0.22,0.25,0.18,4.68,0.92,0.25,2.28,4.88,0.38,0.18,4.85,0.25,4.78,4.38,4.52,0.25,3.52,5,4,4,2,52,0
0.42,4.52,3.48,3.32,2.92,3.58,3.45,2.32,2.68,0.52,3.82,3.68,4.55,1.02,3.68,4.95,2.58,2.52,1.72,0,5,6,4,4,36,1
4.38,4.95,4.72,1.38,1.28,4.85,3.65,4.58,1.32,3.68,4.95,1.35,1.78,3.55,0.15,3.48,3.32,1.72,3.85,4.75,5,4,4,6,54,0
3.88,2.52,3.48,4.05,4.02,1.55,2.58,0.92,2.62,2.55,3.42,3.98,4.72,0.18,3.65,4.08,4.05,0.32,0.55,1.95,6,5,5,6,27,0
5,5,5,3.35,3.75,2.52,3.42,5,3.78,3.42,3.85,4.95,3.48,4.42,2.48,3.65,4.82,2.58,1.48,5,6,5,5,4,33,0
5,3.15,1.78,1.28,0.75,2.35,2.85,1.55,3.55,3.38,2.58,2.58,1.72,0.52,0.78,1.62,1.75,0.72,0.65,0.72,3,3,4,6,27,1
4.62,4.85,4.85,4.65,4.92,0.38,2.55,1.72,4.62,0.22,4.48,3.82,1.75,0.25,0.18,4.72,3.65,0.25,0.25,0.15,7,4,4,7,29,1
2.55,4.25,2.75,3.02,2.68,3.02,3.55,3.62,2.65,2.92,3.02,3.35,2.45,2.62,2.82,3.68,3.45,3.28,3.18,3.72,3,3,2,3,28,1
3.95,0,3.98,2.88,3.91,0,2.55,3.95,2.98,3.68,0.21,0,4.91,2.98,2.78,3.95,3.85,2.88,2.95,3.95,5,5,5,1,23,0
2.57,3.8,3.6,3.4,5,1.64,5,4.37,4.27,2.24,4.67,4.87,4.8,2.74,2.9,3.7,4,4.14,1.7,2.44,6,6,4,5,27,1
4.85,2.92,2.88,3.68,3.68,3.15,2.12,2.78,3.88,3.45,4.78,4.12,1.55,2.45,4.75,3.85,2.88,4.85,3.68,2.88,7,7,7,4,31,1
3.68,4.48,2.68,3.55,5,3.58,3.88,4.65,5,5,2.82,3.82,3.88,5,3.78,5,5,1.95,1.85,5,7,5,7,3,23,0
4.87,4.83,2.37,0,0.73,4.57,1.87,2.87,0.2,0.9,4.83,4.67,1.7,2.57,3.77,3.73,4.87,1.47,0.23,2.63,7,7,6,5,21,1
4.32,3.45,2.52,1.32,3.55,2.82,0.48,3.48,2.95,3.72,4.45,3.72,1.65,2.95,0.22,4.38,3.55,2.75,0.38,2.45,6,7,6,4,28,0
0.5,4.47,0.63,0.4,0.57,0.63,0.4,0.6,0.6,0.1,2.57,3.1,0.4,0.33,0.5,4.47,3.7,4.53,0.5,0.5,7,7,7,1,36,0
4.78,1.91,3.28,0.95,4.91,3.41,0.61,3.58,4.48,4.81,4.88,4.98,4.78,3.15,1.65,4.81,4.61,4.71,4.85,4.75,6,6,5,4,28,1
2.65,3.78,3.85,2.92,4.82,2.55,3.52,3.08,2.45,3.48,4.55,2.95,3.78,3.05,2.32,3.02,2.55,2.02,2.85,2.82,5,3,4,6,29,0
2.42,2.42,3.68,0.88,0.65,1.85,3.58,3.52,0.45,1.55,4.42,2.48,0.45,3.58,0.38,4.82,0.58,0.62,0.78,4.42,4,3,2,5,60,1
4.6,4.57,3.43,0.57,0.43,0.7,0.83,1.33,0.83,1.07,1.73,4.1,0.43,0.43,0.53,0.5,0.47,0.63,0.67,4.23,4,5,4,6,33,1
3.53,3.6,1.57,4.8,1.53,0.47,3.63,4.87,5,0.57,5,5,3.67,5,3.63,3.7,4.33,0,0,4.47,7,7,7,6,21,0
4.58,4.22,4.62,2.92,0.75,3.78,2.88,4.68,2.52,2.22,4.98,4.48,4.78,4.02,4.05,4.92,4.55,3.55,2.45,4.58,7,6,5,4,52,0
3.85,4.92,3.38,3.75,1.78,3.78,4.88,4.82,4.85,2.88,4.85,3.88,3.48,2.55,1.15,4.45,4.82,2.55,2.48,1.55,5,6,6,4,28,1
3.35,4.45,2.52,3.65,4.68,2.82,4.82,3.75,3.65,3.75,4.78,3.88,3.75,4.78,2.75,3.72,4.85,2.75,3.85,3.85,7,5,6,4,32,1
1.78,3.48,2.78,1.51,0.71,1.78,2.74,2.78,1.81,1.81,4.84,1.81,0.91,1.78,1.78,1.78,2.48,2.51,1.54,3.58,6,5,5,6,67,1
4.71,0.81,3.15,4.75,4.68,0.21,3.28,4.71,4.95,2.75,2.88,0.51,4.98,2.58,4.45,0.48,3.75,0.65,0.28,3.58,7,4,4,7,22,0
3.62,4.02,4.05,4.58,0.72,2.65,2.52,3.52,4.88,3.58,4.88,4.38,3.45,3.45,4.72,3.78,2.75,3.32,2.58,2.88,6,6,6,2,40,0
3.48,4.72,4.28,4.58,4.58,2.55,1.58,1.48,2.55,2.45,3.48,3.55,2.62,4.58,0.55,4.58,4.48,1.65,2.48,4.58,7,7,6,3,23,0
0.73,4.63,4.46,1.86,1.83,3.59,0.83,4.83,2.29,0.86,3.39,0.69,3.46,3.16,0.79,3.79,4.66,1.16,1.16,1.03,5,5,5,5,24,0
2.82,3.75,2.78,0.85,2.78,0.22,0.25,2.68,0.22,3.48,0.18,0.32,0.28,0.28,0.35,3.88,0.75,0.28,2.92,3.68,4,4,4,5,32,0
2.4,0.3,1.64,0.04,0.2,0,3.64,1.57,0.27,3.6,3.57,0.24,0.17,2.4,0.34,2.54,0.54,0.37,0.24,0.17,5,5,6,4,30,0
5,5,5,5,4,4,5,5,3.5,4,5,5,5,5,2,5,5,1,5,5,7,7,5,4,26,0
3.8,4.73,3.57,3.7,4.93,4.5,3.53,4.7,3.67,3.8,4.73,4.97,4.9,3.97,4.53,4.37,4.53,3.5,3.73,4.73,6,2,2,6,34,1
4.65,4.68,4.55,4.68,4.52,3.55,3.62,4.52,4.85,3.98,4.68,4.85,5,4.52,5,4.72,4.65,5,5,4.58,7,6,6,7,45,1
4.55,2.41,2.75,0.35,3.65,0.35,0.48,1.28,0.31,0.51,0.45,3.41,3.55,3.98,2.71,1.78,0.48,0.38,0.58,0.71,2,1,1,6,44,0
0.18,0.25,0.22,0.25,0.22,0.18,0.18,0.25,0.18,0.25,0.22,0.22,0.18,0.15,0.15,0.25,0.18,0.18,0.22,0.22,7,5,3,7,51,0
3.62,3.66,4.62,3.39,2.69,3.69,2.56,3.59,3.69,3.76,4.79,4.62,3.86,4.62,3.39,3.29,3.22,3.49,3.42,3.59,5,5,5,4,31,1
3.12,2.89,2.95,2.95,2.99,3.35,3.49,4.72,2.55,4.62,4.32,4.39,3.62,4.69,3.95,3.85,2.32,0.89,2.82,3.95,3,2,2,6,24,1
2.48,4.52,3.82,0.55,0.65,0.38,3.52,0.62,0.42,4.58,4.55,0.58,0.58,3.52,0.28,2.62,3.55,0.85,0.65,2.48,7,6,6,3,39,0
4.98,4.48,2.78,2.82,2.62,1.95,2.75,2.92,3.98,2.92,4.65,2.98,1.05,2.48,0.75,2.58,1.88,0.52,2.08,3.68,6,4,4,5,30,0
2.02,5,3.52,3.55,4.02,3.28,4.25,4.75,4.55,3.08,1.52,2.45,2.02,3.98,0.52,4.25,4.52,4.25,0.48,5,5,6,5,4,42,1
0.08,3.95,2.95,2.48,4.78,0.18,1.75,0.22,1.78,0,5,5,5,2.45,1.48,0.42,0.28,2.78,0.15,4.78,6,4,6,3,25,0
3.63,1.43,0.77,2.63,0.47,3.6,4.47,3.4,4.37,2.6,3.53,4.7,2.6,1.63,1.07,2.67,3.8,2.83,0.33,0.93,6,7,5,3,29,0
3.78,2.88,3.58,3.62,4.55,3.72,3.55,2.78,3.65,3.65,2.58,2.92,3.65,3.68,3.68,2.55,3.48,4.35,4.35,4.35,6,4,6,4,24,0
1.57,3.5,1,3.8,4.8,4.83,3.5,3.83,3.07,3.97,1.87,2.47,4.8,1.83,3.97,4.77,2.8,0.9,4.07,4.53,5,4,4,5,27,1
4.22,4.79,4.06,4.7,4.8,4.71,4.04,4.69,4.72,3.5,5,4.86,5,4.63,3.37,5,5,4.82,4.4,4.51,7,6,5,3,24,1
1.52,0.52,1.32,2.15,1.42,0.55,0.92,1.15,0.82,1.32,1.52,0.45,0.82,1.58,0.42,0.98,0.62,0.62,1.05,1.68,6,5,4,5,41,1
3.63,2.4,4.5,2.77,3.53,2.83,3.57,4.6,3.43,3.8,2.5,3.93,1.7,4.5,3.53,3.87,3.93,3.43,3.53,4.53,6,5,5,6,29,0
3.08,1.52,0.68,3.22,3.18,0.55,2.42,0.38,0.52,0.45,4.05,4.48,0.45,3.08,0.42,4.48,4.72,0.42,0.48,0.25,5,3,3,7,30,1
4.35,3.35,2.78,2.75,2.52,3.75,3.75,3.45,3.05,4.45,5,4.95,3.35,4.32,3.42,3.32,3.48,0.28,2.25,3.28,6,6,6,5,31,1
4.55,4.48,5,2.45,3.35,3.58,3.32,3.55,3.78,3.55,4.45,4.75,0.38,2.45,2.65,4.52,2.48,0.32,3.62,3.62,7,5,7,1,25,0
1.48,3.75,2.68,1.55,0.45,2.71,2.75,3.05,1.41,1.95,4.75,3.58,2.45,1.41,0.41,3.51,3.01,3.41,0.75,3.05,4,5,5,4,68,1
2.45,2.62,3.52,3.58,4.52,4.48,3.52,3.38,3.42,3.68,3.52,3.02,4.05,4.08,4.15,4.12,4.02,4.08,4.02,3.82,6,2,4,4,36,1
3.32,4.25,2.75,3.68,4.25,3.28,3.35,2.52,1.78,3.55,0.98,2.62,4.18,3.95,2.82,1.55,4.22,2.48,0.68,2.85,5,4,3,3,22,0
0.58,2.08,2.78,3.52,2.62,3.65,2.72,2.65,3.68,2.32,3.38,3.75,1.95,1.68,3.52,3.78,2.88,1.12,1.35,1.62,4,4,4,6,25,1
3.11,4.71,2.08,0.75,1.85,1.08,4.01,1.05,4.05,5,4.41,5,3.01,1.05,1.01,2.18,2.05,3.08,5,3.08,7,7,5,6,25,1
3.75,4.75,1.58,3.85,3.42,0.58,1.58,0.58,2.72,1.88,1.18,0.62,1.85,2.75,1.08,1.68,0.88,1.75,2.95,0.88,6,6,6,5,22,0
5,0,5,0,0,0,3.05,0,0,0,0,0,1.48,0,0.52,0,1.48,0,0,0,2,3,3,7,32,0
1.72,3.85,5,0.25,0.18,5,1.78,4.75,0.28,3.12,5,3.58,0.38,4.98,0.15,4.78,3.55,0.15,0.02,4.92,7,6,6,1,58,0
