subnum,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q41_First Click,Q41_Last Click,Q41_Page Submit,Q41_Click Count,Q1 RP1,Q2 RP2,Q3 RP3,Q4 RP4,Q5 RP5,Q6 RP6,Q7 RP7,Q8 RN1,Q9 RN2,Q10 RN3,Q11 RN4,Q12 RN5,Q13 RN6,Q14 RN7,Q15 LP1,Q16 LP2,Q17 LP3,Q18 LP4,Q19 LP5,Q20 LP6,Q21 LP7,Q22 LN1,Q23 LN2,Q24 LN3,Q25 LN4,Q26 LN5,Q27 LN6,Q28 LN7,Q42_First Click,Q42_Last Click,Q42_Page Submit,Q42_Click Count,age,gender,gender_3_TEXT,tech,comments,hitId,assignmentID,workerId,country,confirmation_code
47,12/23/20 8:22,12/23/20 8:28,0,100,304,1,12/23/20 8:28,R_DIT6aIWxUy5nGwN,anonymous,EN,1.871,1.871,6.9,1,,,,,,,,,,,,,,,"21C1367,17C764,23X1985,26C1736,16C1025,16C613,23C722,18C834,19C740,22C830,26C815,15C924,15C606,18C795,17C799,24C751,24C551,20C834,21C764,25C917,END","11C2728,5C1670,10C955,14C790,6C1629,1X1931,2C976,1C857,8X1652,13C1170,12C1100,7C1121,4C1061,7C835,14C854,3C1309,9C994,11C908,9C992,3C859,END","7C2169,19C838,11C1081,20X1122,3C1473,22C705,5C1152,18C1644,2C1671,21C773,1X1662,15C996,8C812,23C1226,9C1049,26C776,13C923,17C197,10C1038,24C851,END","12C914,26C831,2C831,20C770,7C847,18C821,4X1864,25C774,4C810,20X1362,3C1203,22C737,11C751,22C630,1C1378,17C886,9X1653,19C873,10C869,15X1121,3C1191,21C750,5C1066,19C815,11C853,23X1371,8C848,18C910,9C917,24C741,8X1568,26C739,6C904,16C887,5C1000,25C728,14C840,15C858,13C746,21C717,END","23C1984,19C790,18C664,24C860,25C736,26C953,16C799,25C774,18C993,21X1296,22C966,19C789,16C815,20C712,21C1108,19C843,21C1040,15X1873,20C695,17C934,23C1120,24C979,16C898,25C830,17C971,19C789,22C863,15C958,17C946,24C830,20C791,26C853,18C744,25X1187,26C1239,22C660,16C815,15C817,23C970,21C937,END","9C1074,21C934,6X1654,16C1070,12X1708,24C1748,14C1642,25C950,10C1091,18X2042,8X2055,15C1091,1X1934,23X1587,2C1306,26C1103,7C1186,19C893,5C919,17C1096,END","2C1280,16C930,4C1039,23C895,2C2324,19C948,5C1054,22X1298,10X1714,21C803,9X2012,18X1269,1C1068,16C792,3C1188,26C974,9X1449,17C1065,14C1424,21C1832,8X1638,24C1613,12C1368,17C963,6X1741,23C1347,7C1599,15C826,7C917,26C1167,13C1131,20C999,11C1033,15C958,1C1545,20C914,14C1451,25X1849,8X1512,22C908,END",,,,,,,,1.97,3.762,6.835,2,29,2,,,,,,anonymized,,973044
48,12/23/20 8:22,12/23/20 8:28,0,100,331,1,12/23/20 8:28,R_3PvMZ6FMCu54do5,anonymous,EN,0,0,8.249,0,,,,,,,,,,,,,,,"22C2135,16C1830,18C1402,20X3998,17C1296,19C1431,19C1341,25C1387,22C1310,24X2713,26X2634,18C1236,23C1609,15X2610,21X2308,20C1326,21X2096,16C1467,26C1810,25C1339,END","2C3975,11C1838,5C1301,8X2584,2C1087,1C1681,3C1281,14X2134,7C1069,12X2390,14C1007,13C2686,10X2225,3X2123,11C1514,4C969,6X2125,9X2425,5C1002,8C1333,END","5X2723,18C1268,7C1375,24X2235,9X2655,16C1750,4C1563,26C2784,1X2922,17C1255,11C1514,23X2764,10X2304,20C1841,8X2109,19C1137,12C1219,25C1194,3C1362,21X2188,END","11X2483,16C837,9C468,23X1399,13X450,17C157,5X328,17X243,4C206,19C245,14X418,15X456,9X429,21X210,4X457,25X396,2C24,24X391,12X188,26X153,3C35,22X379,5C50,19C198,14X444,18C41,10X349,20C69,10X263,26X175,7C99,16X1229,1X350,20X317,8X395,23C19,6X358,21C30,7X571,24C188,END","25X1895,24C207,15C316,22C269,22C531,23X1379,21C275,18C250,23C50,17X399,25C31,20X396,26X362,15X541,17X258,18X227,25C60,24C260,16C7,21C71,25C254,19X453,19X203,17X187,16X571,15X2579,26X2366,21C1248,16C1776,23C1582,22C1360,20X2152,23X2605,17C4739,26X8875,18C461,19C1244,24C1361,20X2415,16C1513,END","5X10031,21C819,9C13,24C80,6C246,15C7,10X221,19C329,13C331,23C33,4C239,18X459,8X208,25X112,7X296,20C282,14C145,16X304,2X496,26C273,END","3X1484,26C172,6C216,16C65,9X1293,19C61,1C281,17C252,2C36,25C205,10X570,21C130,2X737,22X313,7C207,20C199,10C47,16C20,1C57,25X866,4X690,24C479,12X417,15X674,5C84,22X312,11C282,24C93,9X664,23C132,5C468,17C117,8X281,18X226,8X493,18C87,13C10,15X1577,14C741,21C138,END",,,,,,,,5.451,18.738,20.363,6,35,2,,good,good,,,anonymized,,3771532
49,12/23/20 8:22,12/23/20 8:28,0,100,351,1,12/23/20 8:28,R_1HocfBzGF1mcPEj,anonymous,EN,0,0,9.092,0,,,,,,,,"24X3159,23C1492,17X1741,24C1157,26X2445,17C1085,18X2284,26C1789,23C1308,21C1181,19C886,18C1428,21C893,20C868,25C1061,22C1413,16C877,20C765,16C765,15C1094,END","7C2111,10C1413,2C1220,12C1180,3C972,8C877,4C1124,7C892,13C1558,13C764,1C1197,11C998,12C1140,6C1012,5C1197,14C1046,4C1220,9X1844,10C1077,2C885,END","4X2880,15C1637,6C1780,19C1300,14C2237,23C2285,5C1476,20C1086,11C1189,25C1390,1C1245,24X2054,10C2062,17C1445,7C965,26C1397,12X1814,22X2893,13C1348,18C1182,END","7C952,24C1364,14C1124,16C1165,11C1180,15C988,13C1196,19C1101,13C1012,26X2084,12X3309,21C2453,8C1213,22C1373,9C1285,18X2245,9C1182,16C1230,6C1501,21X1965,3C1532,17C1388,1C1156,25C1230,10C1172,19C1110,2C1075,20C1149,4X1997,23C1790,6X2508,26X2788,7C1237,24X1876,2C1390,18C1230,5C1173,17C974,14C1060,22C1054,END","23C1776,18C1107,18C781,21C837,15C925,17C1189,18X2198,26C1141,22C1060,22C780,25C983,17C820,20C829,20C837,15C1005,19C966,16C989,24C822,21C1149,25C846,19C819,20C941,17C829,15C925,16C813,26C764,25C821,16C732,23C1173,21C1044,21C877,22C1237,15C748,24C925,19X1653,23C1158,24C916,26C910,26C861,17C860,END","12C1431,20C1269,10C1117,15C1212,3C1036,19C1021,2C1004,23C1228,13C1141,18C1325,4C1252,21C909,6C980,25C973,9C1012,24C1092,14C980,22C980,5C821,16C796,END","12C1047,18X1629,4C1021,22C756,11C869,23X1436,1C925,25C885,6C789,19C846,5C837,21C1060,5C1205,20C1029,4C1052,15C909,3C997,21C740,12C836,16C1020,8X1517,20X1614,11X3228,17C845,10C1676,19C796,13C1157,26C1259,8C1014,24C988,9C957,25C908,14C974,22C878,7C781,18C1077,2C869,17C829,7C931,23C925,END",,,,,,,,,,,,,,,2.174,7.213,9.969,3,43,2,,,None,,,anonymized,,2106378
50,12/23/20 8:21,12/23/20 8:28,0,100,376,1,12/23/20 8:28,R_yUd7XNyic3cPs0V,anonymous,EN,0,0,10.519,0,,,,,,,,"26C1386,22C1574,23C1158,18C995,25C946,19C810,24C887,20C761,17C856,20C931,15C848,15C771,22C817,17C778,19C1192,16C823,21C844,24C930,23C1047,26C800,END","1X1894,10X1837,3C1131,13C1127,8C1167,4C1326,12X1765,2X2393,9C1040,5X1861,13C1179,11X1754,7C1055,5C1143,12X2094,14C848,6X1810,2C1003,3C924,10C1015,END","12X1838,17C724,14C1079,16C1223,5C995,18C871,6C1312,25C1154,9C1858,21C855,13C1671,24C859,2X2173,22C760,4C1239,15C990,10C1015,20X1455,3C1295,23X2045,END","9C1657,23X1730,11X1579,22C926,6C1224,25C1232,12X1381,21C728,10C950,16X1796,13C911,17C800,3C1044,24C787,4C1111,15C837,2C1355,23X1563,14X1818,19C1103,9C1003,17C826,2C1214,24C764,14C1294,22C801,8C1323,16X2054,1C1766,18C924,11X1937,18C824,6X1679,20C979,5C1252,26C1127,4C1063,19C992,7C955,25C1213,END","26C1019,22C844,16C799,18C847,16C753,15C790,20X1647,22C693,17C803,19C734,25C656,23C863,15C755,19C895,18C663,20C815,18C619,25C747,26C930,23C969,19C915,21C1038,26X1551,18C775,21C830,24C1055,22C809,17C855,24C1142,16C850,24C1231,25C860,23C872,19C1234,20C1318,24C857,21C884,17C851,23C1579,15C723,END","1X2121,18C839,12X1681,22C935,3X2079,15C1110,2C1916,26C1051,8C1335,24C1012,11C1646,20C1011,5C1475,19C1034,9C1671,21C1107,14X2082,17C1039,7C1314,23C1339,END","1C2045,26C1522,8C1747,22C835,3X2841,15C906,14X1931,19C908,10C1746,23C1631,4X2254,25C1127,11C1360,25C924,9C2042,20C926,6C1339,15C1060,5C967,20C836,2C847,16C812,8C1003,17C920,7C1758,22C952,10C1494,18C1389,13C1785,16C935,12C1562,24C906,14C1015,26C907,1X1714,24C1203,4X1870,19C1063,7C1114,21C956,END",,,,,,,,,,,,,,,3.296,6.744,10.608,2,38,2,,,,,,anonymized,,1170017
51,12/23/20 8:24,12/23/20 8:28,0,100,202,1,12/23/20 8:28,R_Xn2xOsagg5TshtT,anonymous,EN,0,0,42.731,0,,,,,,,,,,,,,,,,,,,,,,"15C1499,23X191,23C34,15C192,24X119,21C55,26C20,24C122,18X185,20C8,21X207,16X196,16C102,22X156,25C73,20X171,19C266,19C64,22X270,17X241,END","3X470,9X121,12C17,14C1,8C13,7X121,4X368,11X295,13C30,6X313,5X203,1C128,13X217,5X360,3C400,12X240,8X39,2X62,6X52,10C40,END","8C206,26X218,6C25,22C9,7C15,17X27,1C53,24C43,5C149,20X246,11C57,15C83,14C63,25C18,4X155,16X299,13C136,23X278,10C84,19C181,END","14C359,22X167,12X243,15C127,12C18,21X170,5C77,25X67,1X150,19X253,8C67,25X275,9X209,19C10,5X196,17C29,3X336,15X200,10X71,16X186,13C368,18C61,13C50,24C623,7C550,24X168,4C297,22C132,2C109,23X328,6X759,17X600,2X75,18C75,10C64,26X208,7C99,20X224,11C45,26X172,END","18X679,23X212,19X154,26X245,18X217,21C236,17X221,24X248,15X229,25X257,21C90,20X397,16C123,22C124,19X296,19C114,24C20,15X245,21C95,17C81,18C140,15C121,15C127,16C112,24X335,22C237,26X195,21X305,20X168,26C97,23C130,25C83,25C46,26X136,20X299,19C115,17C67,22X244,16X300,23X308,END","8C480,25X298,6X137,17C32,13X287,20X104,10C63,21C117,12X77,26X91,3C43,23X239,7X145,16C17,1C4,15C107,5C139,22X335,9C165,18X281,END","4X431,23X189,2X163,26X184,1X202,22X261,8C76,26C78,6X268,18C156,14C87,18X165,4X143,19X181,1X341,16C218,6C120,22X368,11C131,17X578,9C209,21C71,12C76,24C133,13C99,19X292,7X190,25X389,10C134,25C177,12C237,17C95,3C139,20X488,9C98,21C559,13C216,15X52,5C125,16C91,END",3.666,9.482,9.867,4,33,2,,,,,,anonymized,,9450262
52,12/23/20 8:21,12/23/20 8:28,0,100,417,1,12/23/20 8:28,R_2ebDl2KWdtabZlw,anonymous,EN,0,0,7.58,0,"23X4948,25C1389,26C1261,16C914,17C1698,22C1166,19C964,25C1148,15C1594,17C1136,19C951,26C1117,24C1045,15C1205,21C1003,20C897,23C1651,22C1587,16C956,18C886,END","2C2754,7C1353,3C1310,13C1267,9C1196,2C1056,12C1608,3C2116,9C1759,4C1383,5C1828,13C963,10C1075,1X2530,6C1450,7C964,14C889,8C964,10C837,11C1087,END","9C2066,20C1283,3C1024,21C1391,1X2298,25C1159,13C1424,26C1543,10C1589,22C1354,5C922,17C1336,12X2527,24C2149,6C1332,15C1066,7C1714,16C932,8C1353,19C1046,END","9C1107,19C1058,10C1408,20C1006,5C916,25C1449,8C1100,22C1103,7C1003,16C878,9C976,23C1327,2C1144,15C998,2C1128,21C938,14C1007,17C1078,7C1025,15C1184,12C1665,22C927,13C904,16C743,11C2082,20C978,11C1030,26C867,5C784,23C1011,12C1186,19C1074,1X1908,24C1764,4C1168,18C935,3C1315,26C820,6C1626,24C1030,END","17C977,16C904,23C1595,23C869,19C912,24C932,25C1191,15C1125,26C1673,20C1254,18C1422,24C1105,24C1238,24C809,20C1136,15C1603,16C1431,19C1222,18C1477,19C1010,17C971,18C770,25C836,25C753,16C864,22X2518,22C737,19C924,21C1327,23C1327,22C883,20C826,21C951,17C980,21C1427,21C871,26X1920,26C1292,15C2171,18C1151,END","6X2116,15C2050,12X2196,17C1317,7C2018,26X2680,11X3332,18C1268,8X2925,19C1577,4C1023,22C1266,13C1377,20C1079,2C1294,21C1322,14C2843,23C1209,3C1432,24C1068,END","12X2415,21C1188,2C1808,26X2436,13C1869,26X1891,13C1439,18C1278,1X2255,16C1154,4C1409,17C1079,2C1165,25C1270,7C1023,24C965,10C976,22C1192,10X1925,22X1812,8C1158,19C1403,9C2041,21C1095,11X2299,20C1109,3C1032,19C1342,14C1292,15C878,7C863,18C877,9C1142,23C1009,3C1086,15C902,5C1070,24C1080,6X2563,17C1004,END",,,,,,,,,,,,,,,,,,,,,,2.773,9.54,13.669,4,51,1,,,thank you,,,anonymized,,8192505
53,12/23/20 8:21,12/23/20 8:28,0,100,405,1,12/23/20 8:28,R_3CT2ZHTqoOASudI,anonymous,EN,0,0,11.588,0,,,,,,,,,,,,,,,,,,,,,,"21C1291,21C1291,16C866,16C630,22C1026,26C961,18C754,15C796,25C863,22C928,25C658,20C755,17C750,15C795,19C731,23C885,20C830,26C803,24X1788,18C912,END","1X2476,3X2105,5C1117,1C1066,10C975,8C1271,2C1060,14C1014,13C1058,13C697,9C1217,3C776,11C973,10C1121,7C1005,12C1272,12C660,6C859,2C979,4C1221,END","3C2376,23C1235,4C1059,25C1076,10C1040,17C983,12X1691,18C1412,11X1459,20C1246,1C1093,15C921,8C1915,24C1018,5C1693,16C895,7C1231,26C1445,13C1199,21C983,END","14C1174,17C779,12C1114,26X1588,2C1573,15C1040,9C1822,19C1130,1X1926,25C1997,4C1124,22C756,5C975,22C789,3C907,24C860,6C1120,21C922,8C1757,16C911,11X1447,26C1287,9C1472,24C829,13C1035,19C972,11C1546,18C959,7C853,20C891,3C1184,21C928,12X1545,17C1706,6C1274,23X2104,4C2212,16C1009,10C2611,15C926,END","25C1493,23C1016,22C733,26C804,26C682,15C878,17C1322,18C804,21C846,16C844,22C764,15C911,24C1248,20C895,15X1612,17C1013,16C835,16C593,23C921,17C800,19C901,21C1396,23C627,20X999,19C1195,26C1118,18C702,21C793,21C595,25C953,25C593,16X850,19C1018,26C756,24C1003,24C581,20C664,22C817,18C796,19C1028,END","4C1388,15C905,11C1654,22C1099,14X1965,26C1650,6C1997,23X2943,5C2145,16C1025,9C1821,19C938,13C1260,24C2208,12C2040,20C919,1C1668,18C972,7X1726,25C1667,END","13C2347,16C988,4C1776,24C1625,8C1867,15C899,9C1173,15C967,2C1129,17C1395,6C2082,23C1327,10C1536,22C1224,14C1418,18C828,11C1383,22C1359,12C1829,21C1332,3C1036,24C1501,5C1700,19C1260,13C1002,26C2190,7X2545,17X2192,7C1846,23X2607,1C2358,25C1384,8C2475,16C970,9C1738,20C932,3C1478,18C1082,6C2958,26C1577,END",36.454,40.969,45.519,4,50,1,,,,,,anonymized,,2411444
54,12/23/20 8:22,12/23/20 8:28,0,100,368,1,12/23/20 8:28,R_2Cv2ls3rhLam5Dn,anonymous,EN,0,0,7.368,0,,,,,,,,,,,,,,,,,,,,,,"16C1150,25C1074,16C847,17C752,24C972,26C1427,18C664,20C854,15C728,18C579,15C576,23C819,26C695,19C729,25C724,21C810,22C739,17C558,21C653,24C690,END","5X4598,13C1133,7C1070,13C824,6X4166,10C1291,11C1187,9C966,6C679,3C1070,14C985,9C1148,8C937,3C711,12C699,11C720,1X1881,4X2653,2C854,1X1977,END","3C1256,24C2778,4C2520,25C1358,11C1440,15X2117,12C1799,17C1448,5C1566,21C1352,8C3185,20C1174,7C2053,16C1256,13C3219,23C1347,2C1718,26C1837,9C1640,18C1101,END","4C1462,23C1599,9C2747,15C989,4C1253,18C981,12C1269,18C1008,13C1983,22C1015,11C1254,23C1413,14C1611,15C934,11C2485,16C986,10X2127,26C1884,6C1387,25C1253,6C1682,17C1376,8C1129,25C1428,9C1662,20C1474,2C1646,21C1269,7C1504,19C2059,2C2867,17C1591,3C2094,19C908,1X2139,24C2038,10C1922,24C1121,5C1316,21C1306,END","25C1119,19C850,20C915,17C666,26C688,21C572,22C588,19C684,22C584,22C513,21C655,17C571,23C671,26C649,23C885,20C657,16C667,18C614,16C600,25C650,15C695,26C703,15C647,22C656,17C705,16C600,19C577,16C620,25C671,23C755,15C638,20C594,18C633,26C756,24C810,18C635,21C579,24C750,24C637,19C644,END","13C2855,20C2007,4C1485,17C1217,10C2035,21C965,9C1727,23C1325,12C1375,19C1400,2C853,16C798,5C930,22C839,7C1083,26C1138,6C2451,25C1265,8C1500,18C1331,END","6C2592,19X1648,1X1835,19C2255,13C1189,25C1082,10C1385,25C980,14C1365,26C943,14C900,21C709,4C1048,22C774,4C877,18C754,2C858,15C721,9C1014,17C752,3C1563,24C757,5C970,20C955,3C1920,23C1343,7C1270,18C995,2C809,24C802,12C939,17C1769,8C1081,16C1264,10C1033,21C755,11C821,26C792,9C958,16C893,END",3.318,6.718,11.24,2,45,1,,,,,,anonymized,,1727897
55,12/23/20 8:26,12/23/20 8:28,0,100,129,1,12/23/20 8:28,R_QnajzfUf9s1098d,anonymous,EN,0,0,7.026,0,"24C1504,16C660,16C552,17C647,15C692,17C474,18C618,24C662,20C645,22C793,22C481,23C923,23C504,21C628,18C592,25C679,19C591,26C915,25C749,20C719,END","5X384,6X101,8C80,1X84,9C92,4X86,14C71,14X97,3C72,13X129,7C51,12X171,1C69,7C190,13X183,10X151,9X137,2C85,5C110,11X144,END","4C375,22X128,6C132,25X164,3C86,16X152,2C130,19C121,13X139,15C151,10C138,26C117,8C134,23C112,1X184,20X122,14X145,17C180,12X149,21C119,END","8X696,21X288,4C218,26X232,14X200,17C210,12X212,18C118,2C158,22X192,5X178,22X166,6C158,23C162,12C180,20C118,13X144,19X146,1X140,18X126,4X136,21C119,1C113,26X147,3C109,15X151,10X97,24X153,7C105,15C129,11X157,25C185,11X171,23X166,9C158,16C158,9X166,19X138,6X138,20X170,END","16X1424,20C111,18C127,17X143,23X137,23C140,25C141,22C143,21X155,25X138,15X140,22X120,23X136,21X170,18C108,17C164,15C120,19C194,16X187,25X169,24X131,22C155,26X157,19X157,20X159,19X154,17X174,20C159,19X201,24X165,22X164,15C156,20C180,21C4,16X236,18C184,26X200,24C162,26X167,21C168,END","4X248,23X228,1C216,18C2,8C211,16C218,13C218,21C211,2X233,17C234,9C227,24X238,12X2149,19X230,7C154,22C185,14X225,20X184,5C206,26C6,END","11X592,17X281,6C235,25X201,9C1,22X211,1C212,17C206,10C926,18X222,5C192,16X210,13X178,26C150,3C213,16C5,2C224,25C219,4C187,23X237,9X214,20X203,2X197,19C32,8X184,24C217,3C224,15X246,12X202,22X182,7X240,21C250,13C178,19C211,7X151,23X169,14C153,26X217,11C163,15C171,END",,,,,,,,,,,,,,,,,,,,,,1.818,3.034,5.031,2,28,1,,,,,,anonymized,,742729
56,12/23/20 8:22,12/23/20 8:28,0,100,365,1,12/23/20 8:28,R_3knevANZOBBdpZQ,anonymous,EN,0,0,9.748,0,,,,,,,,"15X3958,24X1966,22X2385,22C1125,20C1203,23C1463,17C1136,18C1511,16C1305,20C1808,19C1384,19C1071,26C1905,18C1215,21C1536,24C2033,21C1255,26C2159,25C1500,15C2233,END","8C1849,4C1665,10C1370,5X2480,13X3316,5C1614,11C1628,7C1493,3X3529,14C1656,2C1438,14C1912,9X2276,9C1236,3X2583,12C1999,12C1119,4C1646,1C2129,6C1223,END","9C1330,23C1444,7C1482,19C1330,5C1384,20C1262,2C1593,18C1375,13X2704,21C1495,11X2814,22C1459,4X2876,17C1894,3C1835,26X3549,14X3123,24X2179,12X2936,16C1605,END","8C2072,19C1429,8C1058,26C1564,5C1667,18C1470,4C1426,17C1451,7C1341,22X2539,11C1995,15C1412,6C1324,17C1281,9X2668,22X2338,2C1427,18X2196,7C1724,20C1307,14X4024,26C3247,1X1380,23C2111,3X2910,16C1525,6X1375,23X1580,13C1189,24C1335,10C1120,15X1341,4C1539,25X2769,13X2955,21C1959,9X2553,24C2282,12X1606,20X648,END","26C1351,26C228,23C106,22C116,26X1416,18C366,15C124,15C403,23X1100,21C108,17X98,24X843,19X253,18C149,24C102,15C196,19C189,24C223,25C5,20X315,20X163,18X356,15C156,21X391,25C518,16C46,21C83,19X210,17C69,22X407,16X311,17C64,18C532,23X362,21X208,23X1653,16C88,22X1060,20X99,25X773,END","8X3073,15C214,11C43,16C147,13X494,21X381,7C283,18C107,2C70,20C146,9X275,23C68,14X179,22X672,5X640,25X290,6C3,17C92,3X1051,24X472,END","12C1063,15X958,9X120,17C4,14C274,17C14,1X615,21C180,8X783,20C206,10X1098,18C23,1C117,24X356,4C75,23C269,5C106,22X791,3C246,26X404,13C43,25X300,3C327,16X161,7X659,19C4,4C73,15C205,14C216,25X2133,11C125,18C121,8X429,16C98,2C72,23X676,12X1058,21C149,6C17,26X388,END",,,,,,,,,,,,,,,5.767,21.771,24.938,4,40,2,,no ,no,,,anonymized,,6262041
57,12/23/20 8:21,12/23/20 8:28,0,100,403,1,12/23/20 8:28,R_pi873SyWnd67LH3,anonymous,EN,0,0,14.855,0,"16C1499,23C1618,21C1499,24C1281,26C1489,17C976,20C909,25C866,22C1173,23C1125,18C1380,24C1126,25C817,16C727,15C1040,20C770,15C930,19C694,26C890,18C805,END","8X2296,10X1945,9X2157,6X1923,5C1670,2C1236,1X2776,9X1700,6X2099,13C1615,8C1685,10C998,14C1262,7C1232,12C1184,4C2240,3C1258,4C1087,11C1669,3C1445,END","4C2212,18C1250,2C1189,17C848,9C1117,25C1069,14C1580,16C1187,1X1941,24C1590,13C1259,21C1924,5C1381,23C2006,10C1404,15C1188,6C1643,22C2415,12X1968,19C1643,END","14C3576,16C1772,2C1120,22X1159,12C1011,25C1170,8C1844,24C873,5C1236,19C1588,8C1389,21C1853,13C1473,23C1719,2C875,26X1350,7C1237,17C1041,9C1056,16C836,1X2165,20C1096,14C2440,19C1342,3C1092,25C990,4C1370,23C1484,7C1158,15C877,10C1290,26C1511,12C804,17C1629,6C1485,18C1154,11C1026,18C1394,4C1450,24C1007,END","17C1979,22C1024,24C824,21C857,23C822,23C818,21C984,20C944,18C1178,25C924,26C948,24C772,16C828,26C973,18C890,23C1404,19C797,15C1010,20X1302,26C910,22C844,25C639,17C766,16C821,19C816,25C765,16C821,22C1034,17X1905,23C740,15C767,21C656,25C651,17C777,24C873,18C1039,19C1286,20C1258,16C672,15C618,END","13C3024,16C1434,7C1015,20C1415,10C1228,15C1371,1X3471,26C2603,8C1430,17C1340,12C1687,25C1515,14C2604,24C1845,5C1427,19C1173,3C1539,21C1502,4C1258,22C978,END","14C2945,19C1331,7C1495,22C1061,12C1315,16C1395,6C1553,20C1170,3C2223,19C1095,6C1545,24C1121,4C1520,24C884,12C1701,26C1195,13C3873,15C994,7C1140,23C1928,10C1325,15C1314,2C1531,21C3228,9C1092,18C1142,8C2104,17C1396,3C1095,20C962,11C1338,26C1634,5C1132,22X1255,9C2106,25X1342,8C1820,18C837,1X1824,23C1841,END",,,,,,,,,,,,,,,,,,,,,,3.002,8.707,11.804,3,30,2,,,,,,anonymized,,8837264
58,12/23/20 8:21,12/23/20 8:28,0,100,424,1,12/23/20 8:28,R_UEbX03fbF59NPmF,anonymous,EN,0,0,9.088,0,,,,,,,,,,,,,,,,,,,,,,"19C1599,16C1126,23C1343,24C1084,17C1070,24C1151,23C1588,26C1099,20C936,19C816,26C979,21C1034,22C1230,16C944,15C982,25C980,20C975,21C965,18C989,17C938,END","5C1647,11C1534,9C1307,14C949,2C1138,10C1241,2X2180,13C1433,6C1340,12C1018,11C1054,4C1175,8C1045,13C1063,3C926,1X1909,6C1343,7C1055,5C1016,12C1011,END","9C1870,16C1541,5C1067,21C1408,11C1121,17C1024,7C964,18C935,6C1384,19C949,3C1132,24C1083,13C964,23C1458,10C1445,15C1126,8C1230,26C1135,1X2648,22C1302,END","10C1375,17C964,3C867,26X2341,14C1356,22C1178,6C1064,23X2792,13C1644,25X2102,2C1708,24C1117,3C924,23X4315,14C1178,19C1263,11C847,21C921,8C1114,16C1080,7C866,20C1093,11C863,24C1024,9C947,21C1003,7C920,25X1999,4C1697,19C960,5C1111,18C1031,5C1050,15C909,12X2191,18C1099,10C1049,20C1005,1C1242,17C989,END","24C1167,20C916,15C1020,16C873,22C1003,18C942,23C1078,26C1166,18C939,23C995,21C887,26C960,16C936,15C750,17C716,19C740,15C699,19C668,23C895,16C905,18C864,21X1361,24C959,25C1278,18C790,21C787,20C769,24C895,15C759,20C790,19C761,25C815,17C836,22C721,22C1071,26C994,24C870,17C807,25C1019,21C949,END","8C1231,15C954,4C1130,26X3206,11C1053,22C1524,6X2604,19C1238,12C1810,16C1116,1X2611,25C1494,5C1454,23X2673,13C1376,20C1109,3C1197,21C1183,14C1813,18C963,END","13C1655,17C932,8C1115,21C1171,9C991,16C1061,10C1143,17C934,3C1180,26C1231,2C1323,23X2397,7C895,15C855,14C1419,21C1262,1C1311,20C1118,4C1367,22C1187,10C1450,25C842,12C1392,25C1394,5C1024,23C1202,2C1629,24C1087,5C1035,20C1116,11C1092,26C1439,1C1226,19C948,6C1137,18C857,9C1252,18C942,8C1484,15C899,END",3.306,5.934,10.085,2,56,2,,,,,,anonymized,,2346269
59,12/23/20 8:23,12/23/20 8:28,0,100,278,1,12/23/20 8:28,R_12J8tcYB6hc7Ywr,anonymous,EN,0,0,7.793,0,,,,,,,,,,,,,,,,,,,,,,"16C4294,16C4988,21X11102,22C702,18C108,26C43,17X499,24X546,25X358,26X140,23C141,21C108,15C128,20C157,20X903,19C177,22C167,24C357,19X452,17X220,END","3X1847,9C4,5C436,10X114,11C105,8C109,2X406,12C60,7C41,13X343,2C44,14X452,12X259,1X459,6C151,4C67,8X341,4X383,13X342,6C139,END","4X1008,16X554,11C245,20C150,1X327,15X364,5X305,26C91,14C108,24X297,2X37,22X211,13X261,25X248,9X375,18C140,3X377,17C129,8C124,21C3,END","3X1358,24C324,10X358,17C140,7X312,23C78,2C108,21C65,13X296,20C93,7X186,17C93,5X146,26X76,9C58,22X126,12C104,18C98,8C27,18C217,6X373,15C186,12C93,26C16,8C88,15C125,4X182,20X304,13C76,19C164,6X309,16C174,1X262,25X200,11X377,23X340,14C281,24X360,3X180,25C305,END","18X1875,17X194,19X218,18X249,21X414,23X139,15C38,15X187,24C5,17X469,19X141,15X258,17X239,25X312,21X307,18X411,16X197,22C35,16X153,24C93,21C89,26X131,21X58,20C109,22X266,25X234,26C140,20X264,25X343,17X369,19C100,23C49,18C9,26C84,22C56,16X203,20X141,26X327,24C76,23X148,END","3X1359,16C312,2C155,22X215,10C78,18X405,4C195,23X155,5C23,24X265,12X135,19C8,7C94,26X295,14C80,20C87,11X318,15C14,8X290,25C183,END","10C888,22X282,8C125,23C218,13C93,20X454,7C155,25X503,2X440,18X569,14X280,26C56,4X192,25X217,3X188,24X327,1X150,16X250,5C32,15C93,9X391,21C70,12X249,21C233,3X277,23C39,2X363,17C73,10C38,16X239,11C89,22C279,6X295,15C139,14X311,19X406,11X171,19X223,7C382,18C165,END",5.4,71.412,82.809,8,42,2,,no difficults in the studty,very interesting,,,anonymized,,634432
