RecordedDate,Condition,PreferenceDV,rankp,rankM,rankJJ,rating1,rating2,rating3,choice_na,age,genderchoice,gender
12/3/21 17:27,2,3,2,1,3,1,1,1,1,43,0,
12/3/21 17:27,2,3,1,2,3,4,2,2,3,30,0,
12/3/21 17:28,2,0,2,1,3,3,1,1,1,26,0,
12/3/21 17:31,2,3,1,2,3,4,1,1,2,28,1,
12/3/21 17:31,2,1,2,1,3,2,1,1,1,33,1,
12/3/21 17:35,2,-2,,,,3,2,2,2,25,0,
12/3/21 17:35,2,-3,,,,5,1,1,2,33,0,
12/3/21 17:36,2,-3,1,2,3,5,1,1,2,51,0,
12/3/21 17:38,2,1,3,2,1,3,3,3,3,38,0,
12/3/21 16:57,2,-1,1,2,3,2,3,3,2,20,0,
12/3/21 17:19,2,-1,1,2,3,5,3,2,2,32,1,
12/3/21 17:21,2,-3,2,1,3,3,1,1,1,27,0,
12/3/21 17:24,2,-2,2,1,3,2,1,1,1,25,0,
12/3/21 17:24,2,-2,1,2,3,4,2,1,2,40,1,
12/3/21 17:29,2,3,2,1,3,1,1,1,1,51,1,
12/3/21 17:30,2,1,1,2,3,3,1,1,2,25,0,
12/3/21 17:31,2,-2,2,1,3,3,1,1,1,35,0,
12/3/21 17:35,2,-3,2,1,3,2,2,2,1,31,0,
12/3/21 17:41,2,-3,2,1,3,1,1,1,1,30,0,
12/3/21 17:08,2,3,,,,3,2,2,1,24,0,
12/3/21 17:09,2,-3,2,1,3,1,2,1,1,32,1,
12/3/21 17:11,2,-3,2,1,3,1,1,1,1,22,0,
12/3/21 17:14,2,3,1,2,3,5,1,1,2,22,0,
12/3/21 17:20,2,2,3,1,2,3,3,3,1,22,0,
12/3/21 17:20,2,-3,1,2,3,5,1,1,2,22,0,
12/3/21 17:31,2,1,,,,5,1,1,2,52,0,
12/3/21 17:32,2,3,2,3,1,3,3,3,2,26,1,
12/3/21 17:35,2,-1,2,1,3,1,1,1,1,42,0,
12/3/21 17:39,2,-3,2,1,3,1,2,2,1,25,0,
