Variable_Name,Average_Human_Response,Question,Average_LLM_Response
postlife,1.1995786898613754,"Do you believe there is a life after death? Choices: 1-YES, 2-NO",1.0
closeblk,4.555134109997291,"In the past few years, do you think conditions for black people have improved, gotten worse, or stayed about the same? A. In general, how close Do you feel to Blacks? Choices: 1-NOT AT ALL CLOSE, 5-NEITHER ONE OR THE OTHER",5.0
alienat1,1.4653397391901166,"Now I want to read you some things some people have told us they have felt from time to time. Do you tend to feel or not . . . (READ LIST) A. The people running the country don't really care what happens to you. Choices: 1-FEEL, 2-NOT FEEL",1.1666666666666667
alienat2,1.240677966101695,"Now I want to read you some things some people have told us they have felt from time to time. Do you tend to feel or not . . . (READ LIST) B. The rich get richer and the poor get poorer. Choices: 1-FEEL, 2-NOT FEEL",1.1666666666666667
alienat5,1.4251700680272108,"Now I want to read you some things some people have told us they have felt from time to time. Do you tend to feel or not . . . (READ LIST) E. Most people with power try to take advantage of people like yourself. Choices: 1-FEEL, 2-NOT FEEL",2.0
alienat6,1.401541695865452,"Now I want to read you some things some people have told us they have felt from time to time. Do you tend to feel or not . . . (READ LIST) F. The people in Washington, D.C. are out of touch with the rest of the country. Choices: 1-FEEL, 2-NOT FEEL",1.0
hapmar,1.401129444983676,"as you know, many older people share a home with their grown children. Do you think this is generally a good idea or a bad idea? Choices: 1-VERY HAPPY, 2-PRETTY HAPPY, 3-NOT TOO HAPPY",2.0
hapcohab,1.45830639948287,"Taking things all together, would you say that your relationship with your partner is very happy, pretty happy, or not too happy? Choices: 1-Very happy, 2-Pretty happy, 3-Not too happy",1.0
life,1.587821802319011,"In general, do you find life exciting, pretty routine, or dull? Choices: 1-Exciting, 2-Routine, 3-Dull",1.0
helpful,1.58497359008977,"Would you say that most of the time people try to be helpful, or that they are mostly just looking out for themselves? Choices: 1-Try to be helpful, 2-Looking out for themselves, 3-Depends",1.1666666666666667
fair,1.686877806552781,"Do you think most people would try to take advantage of you if they got a chance, or would they try to be fair? Choices: 1-Would take advantage of you, 2-Would try to be fair, 3-Depends",2.0
trust,1.6778340200117716,"Generally speaking, would you say that most people can be trusted or that you can't be too careful in dealing with people? Choices: 1-Most people can be trusted, 2-Can't be too careful, 3-Depends",1.0
conbus,1.934550763891828,"I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them? B. Major companies Choices: 1-A GREAT DEAL, 2-ONLY SOME, 3-HARDLY ANY",2.0
coneduc,1.8648347107438017,"I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them? READ EACH ITEM; CODE ONE FOR EACH. D. Education Choices: 1-A GREAT DEAL, 2-ONLY SOME, 3-HARDLY ANY",2.0
contv,2.222769816946906,"I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them? READ EACH ITEM; CODE ONE FOR EACH. I. TV Choices: 1-A GREAT DEAL, 2-ONLY SOME, 3-HARDLY ANY",2.0
aged,1.7055114605741415,"As you know, many older people share a home with their grown children. Do you think this is generally a good idea or a bad idea? Choices: 1-A GOOD IDEA, 2-A BAD IDEA, 3-DEPENDS",1.0
anomia7,1.3166446872645063,"Most public officials (people in public office) are not really interested in the problems of the average man. Choices: 1-AGREE, 2-DISAGREE",1.8333333333333333
joblose,3.482119044732695,"Thinking about the next 12 months, how likely do you think it is that you will lose your job or be laid off--very likely, fairly likely, not too likely, or not at all likely? Choices: 1-Very likely, 2-Fairly likely, 3-Not too likely, 4-Not likely, 5-Leaving labor force",3.0
satjob,1.7061884479734808,"On the whole, how satisfied are you with the work you do--would you say you are very satisfied, moderately satisfied, a little dissatisfied, or very dissatisfied? Choices: 1-Very satisfied, 2-Moderately satisfied, 3-A little dissatisfied, 4-Very dissatisfied",1.5
richwork,1.3055957634598412,"If you were to get enough money to live as comfortably as you would like for the rest of your life, would you continue to work or would you stop working? Choices: 1-Continue to work, 2-Stop working",1.3333333333333333
satfin,1.974646348306311,"We are interested in how people are getting along financially these days. So far as you and your family are concerned, would you say that you are pretty well satisfied with your present financial situation, more or less satisfied, or not satisfied at all? Choices: 1-Pretty well satisfied, 2-More or less satisfied, 3-Not satisfied at all",1.1666666666666667
finrela,2.8732208124089977,"Compared with American families in general, would you say your family income is far below average, below average, average, above average, or far above average? (PROBE: Just your best guess.) Choices: 1-FAR BELOW AVERAGE, 2-BELOW AVERAGE, 3-AVERAGE, 4-ABOVE AVERAGE, 5-FAR ABOVE AVERAGE",3.5
fepres,1.1323902657509703,"If your party nominated a woman for President, would you vote for her if she were qualified for the job? Choices: 1-YES, 2-NO, 5-WOULDNT VOTE",1.0
abdefect,1.203583968485056,"Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if. . .READ EACH STATEMENT, AND CIRCLE ONE CODE FOR EACH. 
A. If there is a strong chance of serious defect in the baby? Choices: 1-YES, 2-NO",1.0
abnomore,1.5455188982796344,"Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if. . .READ EACH STATEMENT, AND CIRCLE ONE CODE FOR EACH. B. If she is married and does not want any more children? Choices: 1-YES, 2-NO",1.1666666666666667
abfirm,3.4285714285714284,"How firm are you about your opinion on abortion--would you say you are very likely to change your opinion, somewhat likely to change, somewhat unlikely to change or very unlikely to change? Choices: 1-CHANGE VERY LIKELY, 2-SOMEWHAT LIKELY, 3-SOMEWHAT UNLIKELY, 4-CHANGE VERY UNLIKELY",4.0
abchoose,3.0375375375375375,"Do you agree or disagree A pregnant woman should be able to obtain a legal abortion for any reason whatsoever, if she chooses not to have the baby. Choices: 1-STRONGLY AGREE, 2-AGREE, 3-NEITHER AGREE NOR DISAGREE, 4-DISAGREE, 5-STRONGLY DISAGREE",2.1666666666666665
