Variable_Name,Average_Human_Response,Question
immunemp,1.564504632929437,"What do you think will happen as a result of more immigrants coming to this country? Is each of these possible results very likely, somewhat likely, not too likely, or not at all likely? B. Higher unemployment. Choices: 1-VERY LIKELY, 2-SOMEWHAT LIKELY, 3-NOT SO LIKELY, 4-NOT AT ALL LIKELY"
whoteach,3.1840974212034383,"Some people say that when the experience of a racial or ethnic minority group is taught in high school or college, it should be taught by a teacher from that group. Do you strongly agree, agree, neither agree nor disagree, disagree, or strongly disagree? Choices: 1-STRONGLY AGREE, 2-AGREE, 3-NEITHER AGREE NOR DISAGREE, 4-DISAGREE, 5-STRONGLY DISAGREE"
workimm,2.358490566037736,"Now I have some questions about different groups in our society. I'm going to show you a seven-point scale which the characteristics of people in a group can be rated. In the first statement a score of 1 means that you think almost all of the people in that group are ""rich."" A score of 7 means that you think almost everyone in the group are ""poor."" A score of 4 means that you think that the group is not towards one end or another, and of course you may choose any number in between that comes closest to where you think people in the group stand. B1. Legal immigrants? Choices: 1-HARD-WORKING, 7-LAZY"
fejobaff,2.81123230003827,"Some people say that because of past discrimination, women should be given preference in hiring and promotion. Others say that such preference in hiring and promotion of women is wrong because it discriminates against men. What about your opinion - are you for or against preferential hiring and promotion of women? IF FOR:Do you favor preference in hiring and promotion strongly or not strongly? IF AGAINST:Do you oppose preference in hiring and promotion strongly or not strongly? Choices: 1-Strongly favor, 2-Not strongly favor, 3-Not strongly oppose, 4-Strongly oppose"
discaffm,2.5789983531919014,"What do you think the chances are these days that a man won't get a job or promotion while an equally or less qualified woman gets one instead? Is this very likely, somewhat likely, somewhat unlikely, or very unlikely these days? Choices: 1-VERY LIKELY, 2-SOMEWHAT LIKELY, 3-SOMEWHAT UNLIKELY, 4-VERY UNLIKELY"
menben,1.4620431115276475,"In many married couples, women take the main responsibility for the care of the home and children, while men take the main responsibility for supporting the family financially. Will Men benefit from this? Choices: 1-YES, 2-NO"
womenben,1.546234509056244,"In many married couples, women take the main responsibility for the care of the home and children, while men take the main responsibility for supporting the family financially. Will Women benefit from this? Choices: 1-YES, 2-NO"
fehire,2.417229116771899,"Now I'm going to read several statements. As I read each one, please tell me whether you strongly agree, agree, neither agree nor disagree, disagree, or strongly disagree. For example, here is the statement: Because of past discrimination, employers should make special efforts to hire and promote qualified women. Choices: 1-STRONGLY AGREE, 2-AGREE, 3-NEITHER AGREE NOR DISAGREE, 4-DISAGREE, 5-STRONGLY DISAGREE"
sellorgn,2.7704561911658216,"A body organ that is much in need and that people may contribute are kidneys. Most people can live with only one kidney, though their chances of survival are better if they have two. Do you believe that people with two healthy kidneys should be permitted to sell a kidney to a hospital or organ center to use for transplants? Choices: 1-DEFINITELY NOT, 2-PROBABLY NOT, 3-PERHAPS, 4-PROBABLY, 5-DEFINITELY"
feelgod,3.1346863468634685,"The following questions deal with possible daily spiritual experiences. To what extent can you say you experience the following: A. I feel God's presence. Choices: 1-MANY TIMES A DAY, 2-EVERY DAY, 3-MOST DAYS, 4-SOME DAYS, 5-ONCE IN A WHILE, 6-NEVER/ALMST NEVR"
harmony,3.157662624035281,"The following questions deal with possible daily spiritual experiences. To what extent can you say you experience the following: C. I feel deep inner peace or harmony. Choices: 1-MANY TIMES A DAY, 2-EVERY DAY, 3-MOST DAYS, 4-SOME DAYS, 5-ONCE IN A WHILE, 6-NEVER/ALMST NEVR"
psycfdoc,3.153084539223153,"If you were to seek services for a problem with your emotions, nerves, or your mental health, how much would you agree or disagree with the following options? B. I would trust my family physician to prescribe psychiatric medication. Choices: 1-VERY LIKELY, 2-SOMEWHAT LIKELY, 3-MIXED, 4-SOMEWHT UNLIKELY, 5-VERY UNLIKELY"
doc5,2.8096632503660324,"As you read each of the following statements, please think about the medical care you are now receiving. If you have not received any medical care recently, circle the answer based on what you would expect if you had to seek care today. Even if you are not entirely certain about your answers, we want to remind you that your best guess is important for each statement. E. Doctors always treat their patients with respect. Choices: 1-STRONGLY AGREE, 2-AGREE, 3-UNCERTAIN, 4-DISAGREE, 5-STRONG DISAGREE"
doc15,3.628405375953505,"As you read each of the following statements, please think about the medical care you are now receiving. If you have not received any medical care recently, circle the answer based on what you would expect if you had to seek care today. Even if you are not entirely certain about your answers, we want to remind you that your best guess is important for each statement. O. I doubt that my doctor really cares about me as a person. Choices: 1-STRONGLY AGREE, 2-AGREE, 3-NEITHER AGREE NOR DISAGREE, 4-DISAGREE, 5-STRONG DISAGREE"
doc16,2.0610328638497655,"As you read each of the following statements, please think about the medical care you are now receiving. If you have not received any medical care recently, circle the answer based on what you would expect if you had to seek care today. Even if you are not entirely certain about your answers, we want to remind you that your best guess is important for each statement. P. I trust my doctor's judgments about my medical care. Choices: 1-STRONGLY AGREE, 2-AGREE, 3-NEITHER AGREE NOR DISAGREE, 4-DISAGREE, 5-STRONG DISAGREE"
contchn,2.639646869983949,"Since the beginning of our country, people of many different races, nationalities, and religions have come here. and settled. As I name some of these groups please tell me if the group has made one of the most important positive contributions to this country, an important contribution, some contribution, or little positive contribution to this community. C. Chinese? Choices: 1-MOST IMPORTANT CONTRIBUTION, 2-IMPORTANT CONTRIBUTION, 3-SOME CONTRIBUTION, 4-LITTLE POSITIVE CONTRIBUTION"
contmex,2.8793242156074013,"Since the beginning of our country, people of many different races, nationalities, and religions have come here. and settled. As I name some of these groups please tell me if the group has made one of the most important positive contributions to this country, an important contribution, some contribution, or little positive contribution to this community. F. Mexicans? Choices: 1-MOST IMPORTANT CONTRIBUTION, 2-IMPORTANT CONTRIBUTION, 3-SOME CONTRIBUTION, 4-LITTLE POSITIVE CONTRIBUTION"
engoff1,1.2249426166794186,"Do you favor a law making English the official language of the United States, or do you oppose such a law? Choices: 1-FAVOR, 2-OPPOSE"
twolang,2.0146305779078273,"Now please tell us whether you strongly agree, agree, disagree or strongly disagree with each of these statements: A. Children in the U.S. should learn a second language fluently before they finish high school. Choices: 1-STRONGLY AGREE, 2-AGREE, 3-DISAGREE, 4-STRONGLY DISAGREE"
nobiling,3.0014892032762472,"Now please tell us whether you strongly agree, agree, disagree or strongly disagree with each of these statements: B. Bilingual education programs should be eliminated in American public schools. Choices: 1-STRONGLY AGREE, 2-AGREE, 3-DISAGREE, 4-STRONGLY DISAGREE"
letinhsp,3.5520912547528516,"What about the number of immigrants from Latin America (that is, Spanish-speaking countries of the Americas)–should it be increased a lot, increased a little, left the same as it is now, decreased a little, or decreased a lot? Choices: 1-INCREASED A LOT, 2-INCREASED A LITTLE, 3-LEFT THE SAME AS IT IS NOW, 4-DECREASED A LITTLE, 5-DECREASED A LOT"
letinasn,3.5434949961508853,"What about the number of immigrants from Asia? (Should it be increased a lot, increased a little, left the same as it is now, decreased a little, or decreased a lot?) Choices: 1-INCREASED A LOT, 2-INCREASED A LITTLE, 3-LEFT THE SAME AS IT IS NOW, 4-DECREASED A LITTLE, 5-DECREASED A LOT"
letineur,3.398006134969325,"What about the number of immigrants from Europe? (should it be increased a lot, increased a little, left the same as it is now, decreased a little, or decreased a lot?) Choices: 1-INCREASED A LOT, 2-INCREASED A LITTLE, 3-LEFT THE SAME AS IT IS NOW, 4-DECREASED A LITTLE, 5-DECREASED A LOT"
rhowfree,2.1545064377682404,"And about you yourself? Would you say right now that you have complete freedom, a great deal of freedom, a moderate degree of freedom, not much freedom, or no freedom at all? Choices: 1-COMPLETE FREEDOM, 2-A GREAT DEAL OF FREEDOM, 3-A MODERATE DEGREE OF FREEDOM, 4-NOT MUCH FREEDOM, 5-NO FREEDOM AT ALL"
freenow,1.7664497469269704,"Do you think Americans today have more freedom, less freedom, or about the same amount of freedom as in the past? Choices: 1-MORE FREEDOM, 2-ABOUT THE SAME AMOUNT OF FREEDOM, 3-LESS FREEDOM"
nogovt,2.3239334779464933,"I’m going to read you several statements about freedom. Each one may say something true and important about freedom, but I’d like to know how important each statement is to you. Is it one of the most important things about freedom, extremely important, very important, somewhat important, or not too important? B. Freedom is having a government that doesn’t spy on me or interfere in my life. Choices: 1-ONE OF THE MOST IMPORTANT, 2-EXTREMELY IMPORTANT, 3-VERY IMPORTANT, 4-MODERATELY IMPORTANT, 5-SOMEWHAT IMPORTANT, 6-NOT TOO IMPORTANT"
