Variable_Name,Average_Human_Response,Question
ownthing,2.2636363636363637,"Now I am going to read you several statements. For each one please tell me whether you agree strongly, agree, disagree, or disagree strongly. It is wonderful that young people today have greater freedom to protest against things they don't like and to ''do their own thing.'' Choices: 1-STRONGLY AGREE, 2-AGREE, 3-DISAGREE, 4-STRONGLY DISAGREE"
wlthasns,4.339366515837104,"Now I have some questions about different groups in our society. I'm going to show you a seven-point scale on which the characteristics of people in a group can be rated. In the first statement a score of 1 means that you think almost all of the people in that group are ""rich."" A score of 7 means that you think almost everyone in the group are ""poor."" A score of 4 means you think that the group is not towards one end or another, and of course you may choose any number In between that comes closest to where you think people in the group stand. Asian Americans? Choices: 1-RICH, 7-POOR"
judgeart,2.6015228426395938,"I'm going to read several statements. After I read each one, please tell me whether you strongly agree, agree, disagree, or strongly disagree with it. Only a few people have the knowledge and ability to judge excellence in the arts. Choices: 1-STRONGLY AGREE, 2-AGREE, 3-DISAGREE, 4-STRONGLY DISAGREE"
modpaint,2.7124135420458684,"I'm going to read several statements. After I read each one, please tell me whether you strongly agree, agree, disagree, or strongly disagree with it. Modern painting is just slapped on: a child could do it. Choices: 1-STRONGLY AGREE, 2-AGREE, 3-DISAGREE, 4-STRONGLY DISAGREE"
colaff,2.016830294530154,"What do you think the chances are these days that a white person won't get admitted to a college or university program while an equally or less qualified black person gets admitted instead? Would you say: very likely, somewhat likely, or not likely. Choices: 1-VERY LIKELY, 2-SOMEWHAT LIKELY, 3-NOT LIKELY"
rdiscaff,2.6157779401022645,"What do you think the chances are these days that you or anyone in your family won't get a job or promotion while an equally or less qualified [White/(Black/African-American)] employee receives one instead? Would you say the chances of this happening are very likely, somewhat likely, somewhat unlikely, or very unlikely? Choices: 1-VERY LIKELY, 2-SOMEWHAT LIKELY, 3-SOMEWHAT UNLIKELY, 4-VERY UNLIKELY"
fehire,2.417229116771899,"Now I'm going to read several statements. As I read each one, please tell me whether you strongly agree, agree, neither agree nor disagree, disagree, or strongly disagree. For example, here is the statement: 
Because of past discrimination, employers should make special efforts to hire and promote qualified women. Choices: 1-STRONGLY AGREE, 2-AGREE, 3-NEITHER AGREE NOR DISAGREE, 4-DISAGREE, 5-STRONGLY DISAGREE"
careself,2.626646306547051,"Please tell me whether you strongly agree, agree, neither agree nor disagree, disagree, or strongly disagree with the following statements: Those in need have to learn to take care of themselves and not depend on others Choices: 1-Strongly Agree, 2-Agree, 3-Neither Agree nor Disagree, 4-Disagree, 5-Strongly Disagree"
peoptrbl,2.02820659424433,"Please tell me whether you strongly agree, agree, neither agree nor disagree, disagree, or strongly disagree with the following statements:Personally assisting people in trouble is very important to me Choices: 1-Strongly Agree, 2-Agree, 3-Neither Agree nor Disagree, 4-Disagree, 5-Strongly Disagree"
supfam,1.650805270863836,"People differ in their ideas about what it takes for a young person to become an adult these days. How important is it for them to be capable of supporting a family financially? Choices: 1-Extremely important, 2-Quite important, 3-Somewhat important, 4-Not too important, 5-Not at all important"
havchld,3.265973254086181,"People differ in their ideas about what it takes for a young person to become an adult these days. How important is it for them to have a child? Choices: 1-Extremely important, 2-Quite important, 3-Somewhat important, 4-Not too important, 5-Not at all important"
intfarm,2.0409390208989406,"Agricultural and farm issues. (Are you very interested, moderately interested, or not at all interested?) Choices: 1-Very interested, 2-Moderately interested, 3-Not at all interested"
pubdef,1.8315972222222223,"Suppose a newspaper got hold of confidential government papers about defense plans and wanted to publish them. Should the newspaper be allowed to publish the papers? Or should the government have the power to prevent publication? Choices: 1-ALLOW PUBLICATION, 2-STOP PUBLICATION"
obeylaw,1.5479849726775956,"In general, would you say that people should obey the law without exception, or are there exceptional occasions on which people should follow their consciences even if it means breaking the law? Choices: 1-Obey the law without exception, 2-Follow conscience on occassions"
protest3,1.8331060347766792,"There are many ways people or organizations can protest against a government action they strongly oppose. Please show which you think should be allowed and which should not be allowed by circling a number after each question. Organizing protest marches and demonstrations.  Choices: 1-DEFINITELY ALLOWED, 2-PROBABLY ALLOWED, 3-PROB NOT ALLOWED, 4-DEFINT. NOT ALLOWED"
spretire,2.3799319727891155,"Please indicate whether you would like to see more or less government spending in retirement benefits.. Remember that if you say ""much more,"" it might require a tax increase to pay for it.  Choices: 1-SPEND MUCH MORE, 2-SPEND MORE, 3-SPEND SAME, 4-SPEND LESS, 5-SPEND MUCH LESS"
sparts,3.263167013167013,"Listed below are various areas of government spending. Please indicate whether you would like to see more or less government spending in culture and the arts. Remember that if you say ""much more,"" it might require a tax increase to pay for it.  Choices: 1-SPEND MUCH MORE, 2-SPEND MORE, 3-SPEND SAME, 4-SPEND LESS, 5-SPEND MUCH LESS"
divbest,2.848397267472412,"Do you agree or disagree… Divorce is usually the best solution when a couple can't seem to work out their marriage problems. Choices: 1-STRONGLY AGREE, 2-AGREE, 3-NEITHER AGREE NOR DISAGREE, 4-DISAGREE, 5-STRONGLY DISAGREE"
eldhelp,1.6387310606060606,"Thinking about elderly people who need some help in their everyday lives, such as help with grocery shopping, cleaning the house, doing the laundry etc. Who do you think should primarily provide this help? Choices: 1-Family members, 2-Government agencies, 3-Non-profit organizations (e.g., charitable organizations, churches/religious organizations), 4-Private providers of this kind of help, 5-Employers"
